"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",1382,17,739,409,172,45
"Sin nivel (001)",53,2,4,17,20,10
"Educación inicial (002)",4,,1,3,,
"Primaria (003)",223,6,58,70,64,25
"Secundaria (004)",756,9,449,216,72,10
"Superior no univ. incompleta (005)",87,,64,17,6,
"Superior no univ. completa (006)",57,,41,15,1,
"Superior univ. incompleta (007)",53,,32,17,4,
"Superior univ. completa (008)",149,,90,54,5,
"Hombres (010)",1013,10,490,319,152,42
"Sin nivel (011)",45,2,3,16,17,7
"Educación inicial (012)",2,,,2,,
"Primaria (013)",167,3,33,49,57,25
"Secundaria (014)",569,5,311,181,62,10
"Superior no univ. incompleta (015)",58,,41,11,6,
"Superior no univ. completa (016)",36,,24,11,1,
"Superior univ. incompleta (017)",37,,21,12,4,
"Superior univ. completa (018)",99,,57,37,5,
"Mujeres (020)",369,7,249,90,20,3
"Sin nivel (021)",8,,1,1,3,3
"Educación inicial (022)",2,,1,1,,
"Primaria (023)",56,3,25,21,7,
"Secundaria (024)",187,4,138,35,10,
"Superior no univ. incompleta (025)",29,,23,6,,
"Superior no univ. completa (026)",21,,17,4,,
"Superior univ. incompleta (027)",16,,11,5,,
"Superior univ. completa (028)",50,,33,17,,
,,,,,,
"Area Urbana (030)",720,7,398,196,90,29
"Sin nivel (031)",21,1,2,5,7,6
"Educación inicial (032)",2,,1,1,,
"Primaria (033)",94,2,23,20,34,15
"Secundaria (034)",387,4,224,112,39,8
"Superior no univ. incompleta (035)",44,,31,8,5,
"Superior no univ. completa (036)",39,,30,9,,
"Superior univ. incompleta (037)",43,,25,15,3,
"Superior univ. completa (038)",90,,62,26,2,
"Hombres (040)",518,5,257,150,80,26
"Sin nivel (041)",14,1,1,4,5,3
"Educación inicial (042)",1,,,1,,
"Primaria (043)",76,1,13,16,31,15
"Secundaria (044)",295,3,159,91,34,8
"Superior no univ. incompleta (045)",28,,18,5,5,
"Superior no univ. completa (046)",23,,17,6,,
"Superior univ. incompleta (047)",29,,16,10,3,
"Superior univ. completa (048)",52,,33,17,2,
"Mujeres (050)",202,2,141,46,10,3
"Sin nivel (051)",7,,1,1,2,3
"Educación inicial (052)",1,,1,,,
"Primaria (053)",18,1,10,4,3,
"Secundaria (054)",92,1,65,21,5,
"Superior no univ. incompleta (055)",16,,13,3,,
"Superior no univ. completa (056)",16,,13,3,,
"Superior univ. incompleta (057)",14,,9,5,,
"Superior univ. completa (058)",38,,29,9,,
,,,,,,
"Area Rural (060)",662,10,341,213,82,16
"Sin nivel (061)",32,1,2,12,13,4
"Educación inicial (062)",2,,,2,,
"Primaria (063)",129,4,35,50,30,10
"Secundaria (064)",369,5,225,104,33,2
"Superior no univ. incompleta (065)",43,,33,9,1,
"Superior no univ. completa (066)",18,,11,6,1,
"Superior univ. incompleta (067)",10,,7,2,1,
"Superior univ. completa (068)",59,,28,28,3,
"Hombres (070)",495,5,233,169,72,16
"Sin nivel (071)",31,1,2,12,12,4
"Educación inicial (072)",1,,,1,,
"Primaria (073)",91,2,20,33,26,10
"Secundaria (074)",274,2,152,90,28,2
"Superior no univ. incompleta (075)",30,,23,6,1,
"Superior no univ. completa (076)",13,,7,5,1,
"Superior univ. incompleta (077)",8,,5,2,1,
"Superior univ. completa (078)",47,,24,20,3,
"Mujeres (080)",167,5,108,44,10,
"Sin nivel (081)",1,,,,1,
"Educación inicial (082)",1,,,1,,
"Primaria (083)",38,2,15,17,4,
"Secundaria (084)",95,3,73,14,5,
"Superior no univ. incompleta (085)",13,,10,3,,
"Superior no univ. completa (086)",5,,4,1,,
"Superior univ. incompleta (087)",2,,2,,,
"Superior univ. completa (088)",12,,4,8,,
