"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia SAN ANTONIO DE PUTINA",,,,,,
"Viviendas particulares (001)",15253,14959,243,37,14,
"Ocupantes presentes (002)",50282,47368,2176,476,262,
"Casa independiente",,,,,,
"Viviendas particulares (004)",11120,10849,227,32,12,
"Ocupantes presentes (005)",37374,34722,2031,421,200,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",18,18,,,,
"Ocupantes presentes (008)",59,59,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",24,23,1,,,
"Ocupantes presentes (011)",87,81,6,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",344,338,3,2,1,
"Ocupantes presentes (014)",920,839,25,23,33,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",2780,2770,8,1,1,
"Ocupantes presentes (017)",9480,9356,85,10,29,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",590,584,4,2,,
"Ocupantes presentes (020)",1502,1451,29,22,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",20,20,,,,
"Ocupantes presentes (023)",52,52,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",357,357,,,,
"Ocupantes presentes (026)",808,808,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",10003,9721,233,36,13,
"Ocupantes presentes (029)",33473,30694,2080,466,233,
"Casa independiente",,,,,,
"Viviendas particulares (031)",8680,8411,225,32,12,
"Ocupantes presentes (032)",30120,27479,2020,421,200,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",18,18,,,,
"Ocupantes presentes (035)",59,59,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",24,23,1,,,
"Ocupantes presentes (038)",87,81,6,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",344,338,3,2,1,
"Ocupantes presentes (041)",920,839,25,23,33,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",590,584,4,2,,
"Ocupantes presentes (047)",1502,1451,29,22,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",16,16,,,,
"Ocupantes presentes (050)",42,42,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",331,331,,,,
"Ocupantes presentes (053)",743,743,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",5250,5238,10,1,1,
"Ocupantes presentes (056)",16809,16674,96,10,29,
"Casa independiente",,,,,,
"Viviendas particulares (058)",2440,2438,2,,,
"Ocupantes presentes (059)",7254,7243,11,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",2780,2770,8,1,1,
"Ocupantes presentes (071)",9480,9356,85,10,29,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",4,4,,,,
"Ocupantes presentes (077)",10,10,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",26,26,,,,
"Ocupantes presentes (080)",65,65,,,,
