"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia JAUJA (000)",86906,10989,10546,2495,62963
"Quechua (001)",1903,67,219,55,1563
"Aymara (002)",33,6,2,2,24
"Asháninka (003)",11,1,3,2,6
"Otra lengua nativa (004)",10,1,1,1,7
"Castellano (005)",84776,10906,10315,2432,61207
"Idioma Extranjero (006)",3,,,1,2
"Es Sordomudo/a (007)",170,8,6,2,154
"Hombres (009)",41659,5325,5137,1497,29747
"Quechua (010)",762,24,112,41,586
"Aymara (011)",17,4,1,1,11
"Asháninka (012)",5,1,2,2,1
"Otra lengua nativa (013)",6,1,1,1,3
"Castellano (014)",40777,5290,5019,1450,29063
"Idioma Extranjero (015)",2,,,,2
"Es Sordomudo/a (016)",90,5,2,2,81
"Mujeres (018)",45247,5664,5409,998,33216
"Quechua (019)",1141,43,107,14,977
"Aymara (020)",16,2,1,1,13
"Asháninka (021)",6,,1,,5
"Otra lengua nativa (022)",4,,,,4
"Castellano (023)",43999,5616,5296,982,32144
"Idioma Extranjero (024)",1,,,1,
"Es Sordomudo/a (025)",80,3,4,,73
,,,,,
"URBANA (027)",60531,6907,9176,2031,42488
"Quechua (028)",1477,54,190,50,1184
"Aymara (029)",19,1,2,1,15
"Asháninka (030)",10,1,3,2,5
"Otra lengua nativa (031)",6,1,1,,4
"Castellano (032)",58907,6845,8974,1976,41181
"Idioma Extranjero (033)",3,,,1,2
"Es Sordomudo/a (034)",109,5,6,1,97
"Hombres (036)",28793,3297,4421,1204,19913
"Quechua (037)",591,19,100,37,436
"Aymara (038)",9,,1,1,7
"Asháninka (039)",5,1,2,2,1
"Otra lengua nativa (040)",3,1,1,,1
"Castellano (041)",28126,3273,4315,1163,19415
"Idioma Extranjero (042)",2,,,,2
"Es Sordomudo/a (043)",57,3,2,1,51
"Mujeres (045)",31738,3610,4755,827,22575
"Quechua (046)",886,35,90,13,748
"Aymara (047)",10,1,1,,8
"Asháninka (048)",5,,1,,4
"Otra lengua nativa (049)",3,,,,3
"Castellano (050)",30781,3572,4659,813,21766
"Idioma Extranjero (051)",1,,,1,
"Es Sordomudo/a (052)",52,2,4,,46
,,,,,
"RURAL (054)",26375,4082,1370,464,20475
"Quechua (055)",426,13,29,5,379
"Aymara (056)",14,5,,1,9
"Asháninka (057)",1,,,,1
"Otra lengua nativa (058)",4,,,1,3
"Castellano (059)",25869,4061,1341,456,20026
"Es Sordomudo/a (061)",61,3,,1,57
"Hombres (063)",12866,2028,716,293,9834
"Quechua (064)",171,5,12,4,150
"Aymara (065)",8,4,,,4
"Otra lengua nativa (067)",3,,,1,2
"Castellano (068)",12651,2017,704,287,9648
"Es Sordomudo/a (070)",33,2,,1,30
"Mujeres (072)",13509,2054,654,171,10641
"Quechua (073)",255,8,17,1,229
"Aymara (074)",6,1,,1,5
"Asháninka (075)",1,,,,1
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",13218,2044,637,169,10378
"Es Sordomudo/a (079)",28,1,,,27
