"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia NAZCA (000)",15292,12136,3156
"Red pública dentro de la vivienda (001)",9506,8856,650
"Red pública fuera de la vivienda (002)",1074,762,312
"Pilón de uso público (003)",296,108,188
"Camión - cisterna u otro similar (004)",1022,376,646
"Pozo (005)",2305,1673,632
"Río, acequia, manatial o similar (006)",142,42,100
"Vecino (007)",622,211,411
"Otro (008)",325,108,217
,,,
"URBANA (010)",13245,11246,1999
"Red pública dentro de la vivienda (011)",9005,8525,480
"Red pública fuera de la vivienda (012)",705,585,120
"Pilón de uso público (013)",247,103,144
"Camión - cisterna u otro similar (014)",883,352,531
"Pozo (015)",1610,1383,227
"Río, acequia, manatial o similar (016)",26,18,8
"Vecino (017)",496,194,302
"Otro (018)",273,86,187
,,,
"RURAL (020)",2047,890,1157
"Red pública dentro de la vivienda (021)",501,331,170
"Red pública fuera de la vivienda (022)",369,177,192
"Pilón de uso público (023)",49,5,44
"Camión - cisterna u otro similar (024)",139,24,115
"Pozo (025)",695,290,405
"Río, acequia, manatial o similar (026)",116,24,92
"Vecino (027)",126,17,109
"Otro (028)",52,22,30
