"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OXAPAMPA (000)",32420,27175,1775,1439,2031
"Agric., ganadería, caza y silvicultura (001)",19596,18338,717,384,157
"Pesca (002)",21,8,,11,2
"Explotación de minas y canteras (003)",489,14,6,35,434
"Industrias manufactureras (004)",1007,825,109,66,7
"Suministro de electricidad, gas y agua (005)",30,4,5,18,3
"Construcción (006)",941,559,148,175,59
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2989,2859,99,27,4
"Venta, mant.y rep. veh.autom y motoc. (008)",354,319,23,8,4
"Comercio al por mayor (009)",129,112,9,8,
"Comercio al por menor (010)",2506,2428,67,11,
"Hoteles y restaurantes (011)",936,880,29,14,13
"Trans., almac. y comunicaciones (012)",1283,1104,86,44,49
"Intermediación financiera (013)",26,11,4,5,6
"Activid.inmobil., empres. y alquileres (014)",504,279,73,73,79
"Admin.pub. y defensa; p. segur soc.afil (015)",696,,,,696
"Enseñanza (016)",1506,476,386,483,161
"Servicios sociales y de salud (017)",483,121,15,17,330
"Otras activ. serv.comun.soc y personales (018)",347,238,53,47,9
"Hogares privados con servicio doméstico (019)",789,789,,,
"Organiz. y organos extraterritoriales (020)",1,,,,1
"Actividad economica no especificada (021)",776,670,45,40,21
"Hombres (022)",23696,19899,1317,1009,1471
"Agric., ganadería, caza y silvicultura (023)",16213,15132,587,344,150
"Pesca (024)",18,6,,10,2
"Explotación de minas y canteras (025)",479,14,6,33,426
"Industrias manufactureras (026)",831,670,100,56,5
"Suministro de electricidad, gas y agua (027)",26,4,4,16,2
"Construcción (028)",899,552,140,150,57
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1421,1326,70,21,4
"Venta, mant.y rep. veh.autom y motoc. (030)",316,284,20,8,4
"Comercio al por mayor (031)",73,60,8,5,
"Comercio al por menor (032)",1032,982,42,8,
"Hoteles y restaurantes (033)",214,184,12,7,11
"Trans., almac. y comunicaciones (034)",1193,1027,79,40,47
"Intermediación financiera (035)",13,5,3,2,3
"Activid.inmobil., empres. y alquileres (036)",355,190,55,46,64
"Admin.pub. y defensa; p. segur soc.afil (037)",482,,,,482
"Enseñanza (038)",661,176,196,222,67
"Servicios sociales y de salud (039)",205,63,6,7,129
"Otras activ. serv.comun.soc y personales (040)",163,91,36,30,6
