"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CUSCO (000)",5859,1244,4615
"Sin nivel (001)",106,16,90
"Educación inicial (002)",4,,4
"Primaria (003)",590,110,480
"Secundaria (004)",2337,555,1782
"Superior no univ. incompleta (005)",491,97,394
"Superior no univ. completa (006)",713,151,562
"Superior univ. incompleta (007)",551,126,425
"Superior univ. completa (008)",1067,189,878
"Hombres (010)",3224,622,2602
"Sin nivel (011)",46,5,41
"Educación inicial (012)",2,,2
"Primaria (013)",369,54,315
"Secundaria (014)",1441,302,1139
"Superior no univ. incompleta (015)",232,54,178
"Superior no univ. completa (016)",300,58,242
"Superior univ. incompleta (017)",324,70,254
"Superior univ. completa (018)",510,79,431
"Mujeres (020)",2635,622,2013
"Sin nivel (021)",60,11,49
"Educación inicial (022)",2,,2
"Primaria (023)",221,56,165
"Secundaria (024)",896,253,643
"Superior no univ. incompleta (025)",259,43,216
"Superior no univ. completa (026)",413,93,320
"Superior univ. incompleta (027)",227,56,171
"Superior univ. completa (028)",557,110,447
,,,
"AREA URBANA (030)",5738,1189,4549
"Sin nivel (031)",97,16,81
"Educación inicial (032)",4,,4
"Primaria (033)",559,99,460
"Secundaria (034)",2272,518,1754
"Superior no univ. incompleta (035)",487,95,392
"Superior no univ. completa (036)",707,149,558
"Superior univ. incompleta (037)",548,124,424
"Superior univ. completa (038)",1064,188,876
"Hombres (040)",3133,584,2549
"Sin nivel (041)",37,5,32
"Educación inicial (042)",2,,2
"Primaria (043)",346,47,299
"Secundaria (044)",1392,276,1116
"Superior no univ. incompleta (045)",230,52,178
"Superior no univ. completa (046)",295,56,239
"Superior univ. incompleta (047)",322,69,253
"Superior univ. completa (048)",509,79,430
"Mujeres (050)",2605,605,2000
"Sin nivel (051)",60,11,49
"Educación inicial (052)",2,,2
"Primaria (053)",213,52,161
"Secundaria (054)",880,242,638
"Superior no univ. incompleta (055)",257,43,214
"Superior no univ. completa (056)",412,93,319
"Superior univ. incompleta (057)",226,55,171
"Superior univ. completa (058)",555,109,446
,,,
"AREA RURAL (060)",121,55,66
"Sin nivel (061)",9,,9
"Primaria (063)",31,11,20
"Secundaria (064)",65,37,28
"Superior no univ. incompleta (065)",4,2,2
"Superior no univ. completa (066)",6,2,4
"Superior univ. incompleta (067)",3,2,1
"Superior univ. completa (068)",3,1,2
"Hombres (070)",91,38,53
"Sin nivel (071)",9,,9
"Primaria (073)",23,7,16
"Secundaria (074)",49,26,23
"Superior no univ. incompleta (075)",2,2,
"Superior no univ. completa (076)",5,2,3
"Superior univ. incompleta (077)",2,1,1
"Superior univ. completa (078)",1,,1
"Mujeres (080)",30,17,13
"Primaria (083)",8,4,4
"Secundaria (084)",16,11,5
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",1,,1
"Superior univ. incompleta (087)",1,1,
"Superior univ. completa (088)",2,1,1
