"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia DOS DE MAYO (000)",12846,280,4025,4232,3221,1088
"Agric., ganadería, caza y silvicultura (001)",8362,225,2470,2528,2229,910
"Pesca (002)",4,,2,1,1,
"Explotación de minas y canteras (003)",57,,26,24,7,
"Industrias manufactureras (004)",306,2,118,85,71,30
"Suministro de electricidad, gas y agua (005)",2,,,1,1,
"Construcción (006)",283,2,106,111,57,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",857,11,244,319,233,50
"Venta, mant.y rep. veh.autom.y motoc. (008)",41,,21,16,4,
"Comercio al por mayor (009)",31,,7,13,9,2
"Comercio al por menor (010)",785,11,216,290,220,48
"Hoteles y restaurantes (011)",197,1,62,68,59,7
"Trans., almac. y comunicaciones (012)",231,4,109,69,46,3
"Intermediación financiera (013)",5,,2,3,,
"Activid.inmobil., empres. y alquileres (014)",63,,19,30,13,1
"Admin.pub. y defensa; p. segur.soc afil (015)",225,,83,91,49,2
"Enseñanza (016)",843,,115,502,219,7
"Servicios sociales y de salud (017)",173,,59,81,33,
"Otras activ. serv.comun.soc y personales (018)",72,4,27,24,14,3
"Hogares privados con servicio doméstico (019)",165,6,91,36,25,7
"Actividad economica no especificada (021)",287,,99,78,77,33
"Desocupado (022)",714,25,393,181,87,28
"Hombres (023)",9544,178,3029,3075,2412,850
"Agric., ganadería, caza y silvicultura (024)",6817,148,2067,2070,1795,737
"Pesca (025)",4,,2,1,1,
"Explotación de minas y canteras (026)",56,,25,24,7,
"Industrias manufactureras (027)",262,1,107,70,60,24
"Suministro de electricidad, gas y agua (028)",2,,,1,1,
"Construcción (029)",280,2,103,111,57,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",401,5,125,140,106,25
"Venta, mant.y rep. veh.autom.y motoc. (031)",39,,20,16,3,
"Comercio al por mayor (032)",25,,5,10,8,2
"Comercio al por menor (033)",337,5,100,114,95,23
"Hoteles y restaurantes (034)",37,,20,9,8,
"Trans., almac. y comunicaciones (035)",223,4,105,66,45,3
"Intermediación financiera (036)",3,,2,1,,
"Activid.inmobil., empres. y alquileres (037)",53,,16,25,11,1
"Admin.pub. y defensa; p. segur.soc afil (038)",174,,55,74,43,2
"Enseñanza (039)",452,,47,259,141,5
"Servicios sociales y de salud (040)",66,,19,30,17,
"Otras activ. serv.comun.soc y personales (041)",41,3,17,11,9,1
