"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MOHO (000)",11279,275,2461,3066,3426,2051
"Agric., ganadería, caza y silvicultura (001)",9298,251,1867,2348,2913,1919
"Pesca (002)",23,,5,10,7,1
"Explotación de minas y canteras (003)",8,,4,2,2,
"Industrias manufactureras (004)",149,5,74,31,30,9
"Suministro de electricidad, gas y agua (005)",3,,,2,1,
"Construcción (006)",171,3,33,60,63,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",541,9,181,194,125,32
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,8,4,3,2
"Comercio al por mayor (009)",13,,4,7,2,
"Comercio al por menor (010)",511,9,169,183,120,30
"Hoteles y restaurantes (011)",122,3,39,43,28,9
"Trans., almac. y comunicaciones (012)",104,,41,39,20,4
"Intermediación financiera (013)",1,,,1,,
"Activid.inmobil., empres. y alquileres (014)",19,,7,9,3,
"Admin.pub. y defensa; p. segur.soc.afil (015)",204,,59,101,34,10
"Enseñanza (016)",304,,54,126,122,2
"Servicios sociales y de salud (017)",50,,8,25,15,2
"Otras activ. serv.comun.soc y personales (018)",24,1,11,8,1,3
"Hogares privados con servicio doméstico (019)",47,1,30,11,4,1
"Actividad economica no especificada (021)",211,2,48,56,58,47
"Hombres (022)",6234,131,1297,1712,1929,1165
"Agric., ganadería, caza y silvicultura (023)",5023,118,972,1270,1579,1084
"Pesca (024)",21,,5,10,5,1
"Explotación de minas y canteras (025)",8,,4,2,2,
"Industrias manufactureras (026)",99,,56,20,17,6
"Suministro de electricidad, gas y agua (027)",3,,,2,1,
"Construcción (028)",169,3,32,59,63,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",235,5,74,80,54,22
"Venta, mant.y rep. veh.autom.y motoc. (030)",15,,7,3,3,2
"Comercio al por mayor (031)",7,,2,4,1,
"Comercio al por menor (032)",213,5,65,73,50,20
"Hoteles y restaurantes (033)",27,3,5,8,9,2
"Trans., almac. y comunicaciones (034)",97,,37,36,20,4
"Intermediación financiera (035)",1,,,1,,
"Activid.inmobil., empres. y alquileres (036)",13,,2,8,3,
"Admin.pub. y defensa; p. segur.soc.afil (037)",167,,42,82,33,10
"Enseñanza (038)",220,,30,89,99,2
"Servicios sociales y de salud (039)",31,,3,13,13,2
"Otras activ. serv.comun.soc y personales (040)",19,1,9,6,1,2
"Hogares privados con servicio doméstico (041)",7,1,5,,1,
