"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ICA (000)",4173,3420,753
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",882,870,12
"Casa pensión (003)",50,39,11
"Hospital, clinica (004)",454,454,
"Cárcel, centro de readaptación social (005)",912,912,
"Asilo (006)",22,22,
"Aldea infantil, orfelinato, etc (007)",54,54,
"Otro (008)",469,343,126
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",1330,726,604
