"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TARATA (000)",7805,111,1760,1851,1587,1502,994
"Hombres (001)",4017,55,907,955,861,760,479
"Mujeres (002)",3788,56,853,896,726,742,515
"Viviendas particulares (003)",7686,111,1759,1792,1546,1487,991
"Hombres (004)",3918,55,906,910,826,745,476
"Mujeres (005)",3768,56,853,882,720,742,515
"Viviendas colectivas (006)",93,,,46,34,12,1
"Hombres (007)",82,,,39,30,12,1
"Mujeres (008)",11,,,7,4,,
"Otro tipo (009)",26,,1,13,7,3,2
"Hombres (010)",17,,1,6,5,3,2
"Mujeres (011)",9,,,7,2,,
,,,,,,,
"URBANA (012)",6073,87,1372,1448,1240,1157,769
"Hombres (013)",3100,41,702,753,658,577,369
"Mujeres (014)",2973,46,670,695,582,580,400
"Viviendas particulares (015)",5995,87,1371,1411,1212,1147,767
"Hombres (016)",3037,41,701,726,635,567,367
"Mujeres (017)",2958,46,670,685,577,580,400
"Viviendas colectivas (018)",57,,,28,21,8,
"Hombres (019)",51,,,25,18,8,
"Mujeres (020)",6,,,3,3,,
"Otro tipo (021)",21,,1,9,7,2,2
"Hombres (022)",12,,1,2,5,2,2
"Mujeres (023)",9,,,7,2,,
,,,,,,,
"RURAL (024)",1732,24,388,403,347,345,225
"Hombres (025)",917,14,205,202,203,183,110
"Mujeres (026)",815,10,183,201,144,162,115
"Viviendas particulares (027)",1691,24,388,381,334,340,224
"Hombres (028)",881,14,205,184,191,178,109
"Mujeres (029)",810,10,183,197,143,162,115
"Viviendas colectivas (030)",36,,,18,13,4,1
"Hombres (031)",31,,,14,12,4,1
"Mujeres (032)",5,,,4,1,,
"Otro tipo (033)",5,,,4,,1,
"Hombres (034)",5,,,4,,1,
