"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia TALARA (000)",35679,318,1036,2093,4196,7332,11604,9100
"De 12 a 14 años (001)",47,,,,,,2,45
"De 15 a 19 años (002)",934,,,,,,547,387
"De 20 a 24 años (003)",3810,,,,,8,2267,1535
"De 25 a 29 años (004)",4663,,,,,205,3044,1414
"De 30 a 34 años (005)",4346,,,,,688,2662,996
"De 35 a 39 años (006)",4073,,,,51,1423,1776,823
"De 40 a 44 años (007)",4020,,,,323,1952,978,767
"De 45 a 49 años (008)",3626,,,12,855,1738,282,739
"De 50 y más años (009)",10160,318,1036,2081,2967,1318,46,2394
"PEA (010)",9533,5,48,311,1045,2437,2809,2878
"De 12 a 14 años (011)",2,,,,,,1,1
"De 15 a 19 años (012)",111,,,,,,65,46
"De 20 a 24 años (013)",869,,,,,6,417,446
"De 25 a 29 años (014)",1337,,,,,76,699,562
"De 30 a 34 años (015)",1370,,,,,267,706,397
"De 35 a 39 años (016)",1377,,,,17,507,532,321
"De 40 a 44 años (017)",1369,,,,117,647,285,320
"De 45 a 49 años (018)",1239,,,5,261,581,93,299
"De 50 y más años (019)",1859,5,48,306,650,353,11,486
"Ocupada (020)",8935,5,47,307,1010,2323,2603,2640
"De 12 a 14 años (021)",2,,,,,,1,1
"De 15 a 19 años (022)",94,,,,,,53,41
"De 20 a 24 años (023)",745,,,,,6,365,374
"De 25 a 29 años (024)",1211,,,,,74,639,498
"De 30 a 34 años (025)",1271,,,,,251,659,361
"De 35 a 39 años (026)",1298,,,,17,471,510,300
"De 40 a 44 años (027)",1318,,,,114,625,274,305
"De 45 a 49 años (028)",1186,,,4,248,554,91,289
"De 50 y más años (029)",1810,5,47,303,631,342,11,471
"Desocupada (030)",598,,1,4,35,114,206,238
"De 15 a 19 años (032)",17,,,,,,12,5
"De 20 a 24 años (033)",124,,,,,,52,72
"De 25 a 29 años (034)",126,,,,,2,60,64
"De 30 a 34 años (035)",99,,,,,16,47,36
"De 35 a 39 años (036)",79,,,,,36,22,21
"De 40 a 44 años (037)",51,,,,3,22,11,15
"De 45 a 49 años (038)",53,,,1,13,27,2,10
"De 50 y más años (039)",49,,1,3,19,11,,15
"No PEA (040)",26146,313,988,1782,3151,4895,8795,6222
"De 12 a 14 años (041)",45,,,,,,1,44
"De 15 a 19 años (042)",823,,,,,,482,341
"De 20 a 24 años (043)",2941,,,,,2,1850,1089
"De 25 a 29 años (044)",3326,,,,,129,2345,852
"De 30 a 34 años (045)",2976,,,,,421,1956,599
"De 35 a 39 años (046)",2696,,,,34,916,1244,502
