"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia NAZCA (000)",23355,459,14,3458,10562,1925,3397,1100,2440
"Empleado (001)",6244,21,1,261,1826,624,1569,403,1539
"Obrero (002)",6533,153,4,1095,3637,469,753,207,215
"Trabajador independiente (003)",8730,226,8,1672,4219,703,923,406,573
"Empleador o patrono (004)",408,6,,55,154,34,53,40,66
"Trabajador familiar no remunerado (005)",902,36,1,268,414,50,62,31,40
"Trabajador del hogar (006)",538,17,,107,312,45,37,13,7
"Hombres (008)",15689,167,7,2219,7691,1272,2027,807,1499
"Empleado (009)",3501,2,1,158,1154,340,728,252,866
"Obrero (010)",5712,74,2,853,3269,414,704,195,201
"Trabajador independiente (011)",5706,79,3,1030,2913,459,538,311,373
"Empleador o patrono (012)",270,2,,40,103,24,28,30,43
"Trabajador familiar no remunerado (013)",421,9,1,126,205,29,21,14,16
"Trabajador del hogar (014)",79,1,,12,47,6,8,5,
"Mujeres (016)",7666,292,7,1239,2871,653,1370,293,941
"Empleado (017)",2743,19,,103,672,284,841,151,673
"Obrero (018)",821,79,2,242,368,55,49,12,14
"Trabajador independiente (019)",3024,147,5,642,1306,244,385,95,200
"Empleador o patrono (020)",138,4,,15,51,10,25,10,23
"Trabajador familiar no remunerado (021)",481,27,,142,209,21,41,17,24
"Trabajador del hogar (022)",459,16,,95,265,39,29,8,7
,,,,,,,,,
"URBANA (024)",20586,289,13,2628,9230,1798,3209,1060,2359
"Empleado (025)",6030,19,1,239,1746,608,1519,397,1501
"Obrero (026)",5159,57,3,691,2898,416,698,192,204
"Trabajador independiente (027)",7796,173,8,1358,3809,659,849,389,551
"Empleador o patrono (028)",383,4,,50,147,31,51,40,60
"Trabajador familiar no remunerado (029)",711,20,1,196,331,41,56,29,37
"Trabajador del hogar (030)",507,16,,94,299,43,36,13,6
"Hombres (032)",13615,89,6,1621,6616,1180,1892,772,1439
"Empleado (033)",3372,2,1,144,1102,333,703,247,840
"Obrero (034)",4650,30,1,557,2656,374,657,182,193
"Trabajador independiente (035)",4959,49,3,780,2571,424,482,295,355
"Empleador o patrono (036)",248,1,,35,96,21,27,30,38
"Trabajador familiar no remunerado (037)",312,6,1,94,148,22,15,13,13
"Trabajador del hogar (038)",74,1,,11,43,6,8,5,
"Mujeres (040)",6971,200,7,1007,2614,618,1317,288,920
"Empleado (041)",2658,17,,95,644,275,816,150,661
"Obrero (042)",509,27,2,134,242,42,41,10,11
"Trabajador independiente (043)",2837,124,5,578,1238,235,367,94,196
"Empleador o patrono (044)",135,3,,15,51,10,24,10,22
"Trabajador familiar no remunerado (045)",399,14,,102,183,19,41,16,24
"Trabajador del hogar (046)",433,15,,83,256,37,28,8,6
,,,,,,,,,
"RURAL (048)",2769,170,1,830,1332,127,188,40,81
"Empleado (049)",214,2,,22,80,16,50,6,38
"Obrero (050)",1374,96,1,404,739,53,55,15,11
"Trabajador independiente (051)",934,53,,314,410,44,74,17,22
"Empleador o patrono (052)",25,2,,5,7,3,2,,6
"Trabajador familiar no remunerado (053)",191,16,,72,83,9,6,2,3
"Trabajador del hogar (054)",31,1,,13,13,2,1,,1
"Hombres (056)",2074,78,1,598,1075,92,135,35,60
"Empleado (057)",129,,,14,52,7,25,5,26
"Obrero (058)",1062,44,1,296,613,40,47,13,8
"Trabajador independiente (059)",747,30,,250,342,35,56,16,18
"Empleador o patrono (060)",22,1,,5,7,3,1,,5
"Trabajador familiar no remunerado (061)",109,3,,32,57,7,6,1,3
"Trabajador del hogar (062)",5,,,1,4,,,,
"Mujeres (064)",695,92,,232,257,35,53,5,21
"Empleado (065)",85,2,,8,28,9,25,1,12
"Obrero (066)",312,52,,108,126,13,8,2,3
"Trabajador independiente (067)",187,23,,64,68,9,18,1,4
"Empleador o patrono (068)",3,1,,,,,1,,1
"Trabajador familiar no remunerado (069)",82,13,,40,26,2,,1,
"Trabajador del hogar (070)",26,1,,12,9,2,1,,1
