"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SAN MARTIN (000)",61011,58660,18017,9351,9566,7279,7260,3593,3594,2351
"Católica (001)",45193,43421,13168,7249,7378,5486,5200,2533,2407,1772
"Cristiana/Evangélica (002)",10034,9687,2862,1215,1375,1166,1413,750,906,347
"Otra (003)",3412,3289,1096,438,482,410,416,228,219,123
"Ninguna (004)",2372,2263,891,449,331,217,231,82,62,109
,,,,,,,,,,
"URBANA (006)",56695,54452,17078,8783,8988,6842,6629,3147,2985,2243
"Católica (007)",42076,40385,12462,6836,6945,5162,4768,2230,1982,1691
"Cristiana/Evangélica (008)",9236,8906,2728,1130,1279,1087,1282,645,755,330
"Otra (009)",3247,3125,1057,410,464,397,393,206,198,122
"Ninguna (010)",2136,2036,831,407,300,196,186,66,50,100
,,,,,,,,,,
"RURAL (012)",4316,4208,939,568,578,437,631,446,609,108
"Católica (013)",3117,3036,706,413,433,324,432,303,425,81
"Cristiana/Evangélica (014)",798,781,134,85,96,79,131,105,151,17
"Otra (015)",165,164,39,28,18,13,23,22,21,1
"Ninguna (016)",236,227,60,42,31,21,45,16,12,9
