"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",4831,46,1462,1712,1225,386
"Empleado (001)",736,,153,417,157,9
"Obrero (002)",921,10,330,297,215,69
"Trabajador independiente (003)",2137,6,547,706,647,231
"Empleador o patrono (004)",37,,9,10,13,5
"Trabajador familiar no remunerado (005)",581,21,238,163,107,52
"Trabajador del hogar (006)",68,5,15,19,22,7
"Desocupado (008)",351,4,170,100,64,13
"Hombres (009)",3837,32,1170,1328,987,320
"Empleado (010)",509,,97,286,118,8
"Obrero (011)",832,8,298,265,198,63
"Trabajador independiente (012)",1802,5,466,587,542,202
"Empleador o patrono (013)",35,,9,10,12,4
"Trabajador familiar no remunerado (014)",377,13,178,93,61,32
"Trabajador del hogar (015)",4,2,,,1,1
"Desocupado (017)",278,4,122,87,55,10
"Mujeres (018)",994,14,292,384,238,66
"Empleado (019)",227,,56,131,39,1
"Obrero (020)",89,2,32,32,17,6
"Trabajador independiente (021)",335,1,81,119,105,29
"Empleador o patrono (022)",2,,,,1,1
"Trabajador familiar no remunerado (023)",204,8,60,70,46,20
"Trabajador del hogar (024)",64,3,15,19,21,6
"Desocupado (026)",73,,48,13,9,3
,,,,,,
"URBANA (027)",1003,10,249,433,246,65
"Empleado (028)",379,,73,216,85,5
"Obrero (029)",146,2,58,47,31,8
"Trabajador independiente (030)",352,2,71,131,108,40
"Empleador o patrono (031)",7,,1,2,3,1
"Trabajador familiar no remunerado (032)",75,6,28,24,9,8
"Trabajador del hogar (033)",27,,9,8,8,2
"Desocupado (035)",17,,9,5,2,1
"Hombres (036)",657,6,163,278,162,48
"Empleado (037)",244,,41,139,60,4
"Obrero (038)",134,2,53,43,29,7
"Trabajador independiente (039)",222,1,44,81,68,28
"Empleador o patrono (040)",6,,1,2,2,1
"Trabajador familiar no remunerado (041)",38,3,20,9,,6
"Trabajador del hogar (042)",2,,,,1,1
"Desocupado (044)",11,,4,4,2,1
"Mujeres (045)",346,4,86,155,84,17
"Empleado (046)",135,,32,77,25,1
"Obrero (047)",12,,5,4,2,1
"Trabajador independiente (048)",130,1,27,50,40,12
"Empleador o patrono (049)",1,,,,1,
"Trabajador familiar no remunerado (050)",37,3,8,15,9,2
"Trabajador del hogar (051)",25,,9,8,7,1
"Desocupado (053)",6,,5,1,,
,,,,,,
"RURAL (054)",3828,36,1213,1279,979,321
"Empleado (055)",357,,80,201,72,4
"Obrero (056)",775,8,272,250,184,61
"Trabajador independiente (057)",1785,4,476,575,539,191
"Empleador o patrono (058)",30,,8,8,10,4
"Trabajador familiar no remunerado (059)",506,15,210,139,98,44
"Trabajador del hogar (060)",41,5,6,11,14,5
"Desocupado (062)",334,4,161,95,62,12
"Hombres (063)",3180,26,1007,1050,825,272
"Empleado (064)",265,,56,147,58,4
"Obrero (065)",698,6,245,222,169,56
"Trabajador independiente (066)",1580,4,422,506,474,174
"Empleador o patrono (067)",29,,8,8,10,3
"Trabajador familiar no remunerado (068)",339,10,158,84,61,26
"Trabajador del hogar (069)",2,2,,,,
"Desocupado (071)",267,4,118,83,53,9
"Mujeres (072)",648,10,206,229,154,49
"Empleado (073)",92,,24,54,14,
"Obrero (074)",77,2,27,28,15,5
"Trabajador independiente (075)",205,,54,69,65,17
"Empleador o patrono (076)",1,,,,,1
"Trabajador familiar no remunerado (077)",167,5,52,55,37,18
"Trabajador del hogar (078)",39,3,6,11,14,5
"Desocupado (080)",67,,43,12,9,3
