"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia UTCUBAMBA (000)",25699,24922,74,5040,4862,3770,5067,3268,1958,883,777,95615
"De 12 a 14 años (001)",37,19,3,14,2,,,,,,18,18
"De 15 a 19 años (002)",1082,968,7,831,115,12,3,,,,114,1109
"De 20 a 24 años (003)",3253,2999,13,1721,954,245,61,5,,,254,4648
"De 25 a 29 años (004)",3714,3532,9,1094,1231,769,395,31,3,,182,7754
"De 30 a 34 años (005)",3513,3444,7,581,1004,849,803,168,26,6,69,9983
"De 35 a 39 años (006)",3204,3157,5,301,604,659,1030,414,131,13,47,11894
"De 40 a 44 años (007)",2587,2558,6,159,372,426,820,495,207,73,29,11504
"De 45 a 49 años (008)",2145,2130,4,109,210,309,566,516,296,120,15,11097
"De 50 y más años (009)",6164,6115,20,230,370,501,1389,1639,1295,671,49,37608
"PEA (010)",5153,4869,17,1173,1128,820,896,497,246,92,284,16088
"De 12 a 14 años (011)",4,1,,,1,,,,,,3,2
"De 15 a 19 años (012)",130,111,1,93,15,2,,,,,19,129
"De 20 a 24 años (013)",533,433,2,284,114,24,6,3,,,100,627
"De 25 a 29 años (014)",653,571,3,239,188,98,37,6,,,82,1101
"De 30 a 34 años (015)",818,784,3,232,258,151,119,17,3,1,34,1862
"De 35 a 39 años (016)",848,827,2,133,225,206,190,51,18,2,21,2533
"De 40 a 44 años (017)",706,697,3,63,146,150,204,93,31,7,9,2611
"De 45 a 49 años (018)",529,523,,61,95,100,118,107,32,10,6,2122
"De 50 y más años (019)",932,922,3,68,86,89,222,220,162,72,10,5101
"Ocupada (020)",4977,4732,15,1114,1094,802,884,493,240,90,245,15757
"De 12 a 14 años (021)",4,1,,,1,,,,,,3,2
