"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHEPEN (000)",67364,10477,10446,2555,43961
"Hombres (001)",33530,4729,5013,1376,22463
"Mujeres (002)",33834,5748,5433,1179,21498
"PEA (003)",28406,2561,4042,1151,20706
"Hombres (004)",20310,1744,2466,826,15314
"Mujeres (005)",8096,817,1576,325,5392
"Ocupada (006)",26640,2399,3938,1114,19241
"Hombres (007)",18992,1638,2397,795,14200
"Mujeres (008)",7648,761,1541,319,5041
"Desocupada (009)",1766,162,104,37,1465
"Hombres (010)",1318,106,69,31,1114
"Mujeres (011)",448,56,35,6,351
"No PEA (012)",38958,7916,6404,1404,23255
"Hombres (013)",13220,2985,2547,550,7149
"Mujeres (014)",25738,4931,3857,854,16106
,,,,,
"URBANA (018)",55320,8332,9685,2330,35045
"Hombres (019)",27157,3719,4600,1239,17648
"Mujeres (020)",28163,4613,5085,1091,17397
"PEA (021)",23706,2128,3840,1050,16741
"Hombres (022)",16360,1413,2298,735,11953
"Mujeres (023)",7346,715,1542,315,4788
"Ocupada (024)",22281,1986,3743,1017,15586
"Hombres (025)",15338,1324,2234,707,11110
"Mujeres (026)",6943,662,1509,310,4476
"Desocupada (027)",1425,142,97,33,1155
"Hombres (028)",1022,89,64,28,843
"Mujeres (029)",403,53,33,5,312
"No PEA (030)",31614,6204,5845,1280,18304
"Hombres (031)",10797,2306,2302,504,5695
"Mujeres (032)",20817,3898,3543,776,12609
,,,,,
"RURAL (036)",12044,2145,761,225,8916
"Hombres (037)",6373,1010,413,137,4815
"Mujeres (038)",5671,1135,348,88,4101
"PEA (039)",4700,433,202,101,3965
"Hombres (040)",3950,331,168,91,3361
"Mujeres (041)",750,102,34,10,604
"Ocupada (042)",4359,413,195,97,3655
"Hombres (043)",3654,314,163,88,3090
"Mujeres (044)",705,99,32,9,565
"Desocupada (045)",341,20,7,4,310
"Hombres (046)",296,17,5,3,271
"Mujeres (047)",45,3,2,1,39
"No PEA (048)",7344,1712,559,124,4951
"Hombres (049)",2423,679,245,46,1454
"Mujeres (050)",4921,1033,314,78,3497
