"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CAÑETE (000)",188293,8171,40980,37690,31722,25758,18375,11824,13773
"Quechua (001)",2433,7,66,90,372,551,494,353,500
"Aymara (002)",41,4,10,4,6,6,4,3,4
"Ashaninca (003)",22,3,9,1,2,2,1,1,3
"Otra lengua nativa (004)",453,6,17,41,62,105,110,59,53
"Castellano (005)",184893,8139,40843,37466,31204,24982,17703,11374,13182
"Idioma extranjero (006)",10,1,,4,,2,,2,1
"Es sordomudo/a (007)",441,11,35,84,76,110,63,32,30
"Hombres (009)",94316,4206,20861,18802,15648,12622,9223,5954,7000
"Quechua (010)",1163,2,32,41,169,297,246,169,207
"Aymara (011)",11,2,6,1,1,,,1,
"Ashaninca (012)",6,1,4,1,,,,,
"Otra lengua nativa (013)",282,3,6,16,43,62,79,44,29
"Castellano (014)",92555,4192,20796,18673,15398,12182,8857,5721,6736
"Idioma extranjero (015)",5,,,2,,2,,,1
"Es sordomudo/a (016)",294,6,17,68,37,79,41,19,27
"Mujeres (018)",93977,3965,20119,18888,16074,13136,9152,5870,6773
"Quechua (019)",1270,5,34,49,203,254,248,184,293
"Aymara (020)",30,2,4,3,5,6,4,2,4
"Ashaninca (021)",16,2,5,,2,2,1,1,3
"Otra lengua nativa (022)",171,3,11,25,19,43,31,15,24
"Castellano (023)",92338,3947,20047,18793,15806,12800,8846,5653,6446
"Idioma extranjero (024)",5,1,,2,,,,2,
"Es sordomudo/a (025)",147,5,18,16,39,31,22,13,3
,,,,,,,,,
"URBANA (027)",158125,6904,34711,31829,26658,21677,15345,9785,11216
"Quechua (028)",1905,5,57,66,307,438,374,273,385
"Aymara (029)",41,4,10,4,6,6,4,3,4
"Ashaninca (030)",18,2,9,1,1,,1,1,3
"Otra lengua nativa (031)",441,5,16,40,62,102,106,59,51
"Castellano (032)",155354,6880,34587,31645,26227,21037,14808,9417,10753
"Idioma extranjero (033)",8,1,,3,,1,,2,1
"Es sordomudo/a (034)",358,7,32,70,55,93,52,30,19
"Hombres (036)",78545,3526,17657,15814,13000,10450,7606,4843,5649
"Quechua (037)",907,1,29,35,133,231,189,129,160
"Aymara (038)",11,2,6,1,1,,,1,
"Ashaninca (039)",6,1,4,1,,,,,
"Otra lengua nativa (040)",281,3,5,16,43,62,79,44,29
"Castellano (041)",77103,3515,17599,15702,12794,10092,7307,4651,5443
"Idioma extranjero (042)",3,,,1,,1,,,1
"Es sordomudo/a (043)",234,4,14,58,29,64,31,18,16
"Mujeres (045)",79580,3378,17054,16015,13658,11227,7739,4942,5567
"Quechua (046)",998,4,28,31,174,207,185,144,225
"Aymara (047)",30,2,4,3,5,6,4,2,4
"Ashaninca (048)",12,1,5,,1,,1,1,3
"Otra lengua nativa (049)",160,2,11,24,19,40,27,15,22
"Castellano (050)",78251,3365,16988,15943,13433,10945,7501,4766,5310
"Idioma extranjero (051)",5,1,,2,,,,2,
"Es sordomudo/a (052)",124,3,18,12,26,29,21,12,3
,,,,,,,,,
"RURAL (054)",30168,1267,6269,5861,5064,4081,3030,2039,2557
"Quechua (055)",528,2,9,24,65,113,120,80,115
"Ashaninca (057)",4,1,,,1,2,,,
"Otra lengua nativa (058)",12,1,1,1,,3,4,,2
"Castellano (059)",29539,1259,6256,5821,4977,3945,2895,1957,2429
"Idioma extranjero (060)",2,,,1,,1,,,
"Es sordomudo/a (061)",83,4,3,14,21,17,11,2,11
"Hombres (063)",15771,680,3204,2988,2648,2172,1617,1111,1351
"Quechua (064)",256,1,3,6,36,66,57,40,47
"Otra lengua nativa (067)",1,,1,,,,,,
"Castellano (068)",15452,677,3197,2971,2604,2090,1550,1070,1293
"Idioma extranjero (069)",2,,,1,,1,,,
"Es sordomudo/a (070)",60,2,3,10,8,15,10,1,11
"Mujeres (072)",14397,587,3065,2873,2416,1909,1413,928,1206
"Quechua (073)",272,1,6,18,29,47,63,40,68
"Ashaninca (075)",4,1,,,1,2,,,
"Otra lengua nativa (076)",11,1,,1,,3,4,,2
"Castellano (077)",14087,582,3059,2850,2373,1855,1345,887,1136
"Es sordomudo/a (079)",23,2,,4,13,2,1,1,
