"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia RECUAY",,,,,,,,,
"Viviendas particulares (001)",4906,243,4329,23,32,54,128,5,92
"Ocupantes presentes (002)",18746,1001,16776,51,122,169,402,22,203
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",4573,241,4196,20,21,44,33,2,16
"Ocupantes presentes (005)",17754,998,16318,48,80,141,114,12,43
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",8,,8,,,,,,
"Ocupantes presentes (011)",27,,27,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",44,,44,,,,,,
"Ocupantes presentes (014)",154,,154,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",273,,79,2,11,7,95,3,76
"Ocupantes presentes (017)",783,,270,2,42,11,288,10,160
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",4,,,1,,3,,,
"Ocupantes presentes (020)",18,,,1,,17,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",4,2,2,,,,,,
"Ocupantes presentes (023)",10,3,7,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2740,198,2533,2,1,3,2,,1
"Ocupantes presentes (029)",10563,816,9719,4,2,17,4,,1
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2680,196,2479,1,1,,2,,1
"Ocupantes presentes (032)",10354,813,9531,3,2,,4,,1
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",8,,8,,,,,,
"Ocupantes presentes (038)",27,,27,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",44,,44,,,,,,
"Ocupantes presentes (041)",154,,154,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",4,,,1,,3,,,
"Ocupantes presentes (047)",18,,,1,,17,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,2,2,,,,,,
"Ocupantes presentes (050)",10,3,7,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2166,45,1796,21,31,51,126,5,91
"Ocupantes presentes (056)",8183,185,7057,47,120,152,398,22,202
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1893,45,1717,19,20,44,31,2,15
"Ocupantes presentes (059)",7400,185,6787,45,78,141,110,12,42
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",273,,79,2,11,7,95,3,76
"Ocupantes presentes (071)",783,,270,2,42,11,288,10,160
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
