"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA",,,,,,,,,
"Viviendas particulares (001)",541,445,28,12,31,3,3,6,13
"Ocupantes presentes (002)",2695,2247,90,57,188,7,12,31,63
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",487,399,26,8,31,3,3,6,11
"Ocupantes presentes (005)",2544,2117,87,51,188,7,12,31,51
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",6,6,,,,,,,
"Ocupantes presentes (008)",15,15,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",4,4,,,,,,,
"Ocupantes presentes (011)",11,11,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",14,14,,,,,,,
"Ocupantes presentes (014)",31,31,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",30,22,2,4,,,,,2
"Ocupantes presentes (017)",94,73,3,6,,,,,12
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",490,414,21,8,24,3,3,6,11
"Ocupantes presentes (029)",2536,2142,78,51,164,7,12,31,51
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",466,390,21,8,24,3,3,6,11
"Ocupantes presentes (032)",2479,2085,78,51,164,7,12,31,51
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",6,6,,,,,,,
"Ocupantes presentes (035)",15,15,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",4,4,,,,,,,
"Ocupantes presentes (038)",11,11,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",14,14,,,,,,,
"Ocupantes presentes (041)",31,31,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",51,31,7,4,7,,,,2
"Ocupantes presentes (056)",159,105,12,6,24,,,,12
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",21,9,5,,7,,,,
"Ocupantes presentes (059)",65,32,9,,24,,,,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",30,22,2,4,,,,,2
"Ocupantes presentes (071)",94,73,3,6,,,,,12
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
