"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PALLASCA (000)",8496,124,2758,2850,2047,717
"Empleado (001)",1322,3,344,655,291,29
"Obrero (002)",2018,12,865,677,377,87
"Trabajador independiente (003)",3333,20,750,1043,1040,480
"Empleador o patrono (004)",62,1,18,22,16,5
"Trabajador familiar no remunerado (005)",1100,61,461,270,216,92
"Trabajador del hogar (006)",93,7,50,21,11,4
"Desocupado (008)",568,20,270,162,96,20
"Hombres (009)",6754,88,2168,2219,1693,586
"Empleado (010)",785,,180,384,197,24
"Obrero (011)",1864,10,805,623,346,80
"Trabajador independiente (012)",2772,15,606,855,895,401
"Empleador o patrono (013)",59,1,17,20,16,5
"Trabajador familiar no remunerado (014)",813,50,364,192,149,58
"Trabajador del hogar (015)",3,1,1,1,,
"Desocupado (017)",458,11,195,144,90,18
"Mujeres (018)",1742,36,590,631,354,131
"Empleado (019)",537,3,164,271,94,5
"Obrero (020)",154,2,60,54,31,7
"Trabajador independiente (021)",561,5,144,188,145,79
"Empleador o patrono (022)",3,,1,2,,
"Trabajador familiar no remunerado (023)",287,11,97,78,67,34
"Trabajador del hogar (024)",90,6,49,20,11,4
"Desocupado (026)",110,9,75,18,6,2
,,,,,,
"URBANA (027)",4667,52,1454,1631,1150,380
"Empleado (028)",1008,3,259,482,241,23
"Obrero (029)",1248,6,523,410,250,59
"Trabajador independiente (030)",1565,7,323,508,492,235
"Empleador o patrono (031)",40,1,12,13,12,2
"Trabajador familiar no remunerado (032)",426,22,146,116,94,48
"Trabajador del hogar (033)",71,7,39,17,7,1
"Desocupado (035)",309,6,152,85,54,12
"Hombres (036)",3495,36,1081,1175,909,294
"Empleado (037)",603,,135,283,164,21
"Obrero (038)",1132,4,479,369,228,52
"Trabajador independiente (039)",1183,6,236,367,395,179
"Empleador o patrono (040)",37,1,11,11,12,2
"Trabajador familiar no remunerado (041)",290,20,107,75,60,28
"Trabajador del hogar (042)",2,1,1,,,
"Desocupado (044)",248,4,112,70,50,12
"Mujeres (045)",1172,16,373,456,241,86
"Empleado (046)",405,3,124,199,77,2
"Obrero (047)",116,2,44,41,22,7
"Trabajador independiente (048)",382,1,87,141,97,56
"Empleador o patrono (049)",3,,1,2,,
"Trabajador familiar no remunerado (050)",136,2,39,41,34,20
"Trabajador del hogar (051)",69,6,38,17,7,1
"Desocupado (053)",61,2,40,15,4,
,,,,,,
"RURAL (054)",3829,72,1304,1219,897,337
"Empleado (055)",314,,85,173,50,6
"Obrero (056)",770,6,342,267,127,28
"Trabajador independiente (057)",1768,13,427,535,548,245
"Empleador o patrono (058)",22,,6,9,4,3
"Trabajador familiar no remunerado (059)",674,39,315,154,122,44
"Trabajador del hogar (060)",22,,11,4,4,3
"Desocupado (062)",259,14,118,77,42,8
"Hombres (063)",3259,52,1087,1044,784,292
"Empleado (064)",182,,45,101,33,3
"Obrero (065)",732,6,326,254,118,28
"Trabajador independiente (066)",1589,9,370,488,500,222
"Empleador o patrono (067)",22,,6,9,4,3
"Trabajador familiar no remunerado (068)",523,30,257,117,89,30
"Trabajador del hogar (069)",1,,,1,,
"Desocupado (071)",210,7,83,74,40,6
"Mujeres (072)",570,20,217,175,113,45
"Empleado (073)",132,,40,72,17,3
"Obrero (074)",38,,16,13,9,
"Trabajador independiente (075)",179,4,57,47,48,23
"Trabajador familiar no remunerado (077)",151,9,58,37,33,14
"Trabajador del hogar (078)",21,,11,3,4,3
"Desocupado (080)",49,7,35,3,2,2
