"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHANCHAMAYO (000)",41934,23513,18421
"Red pública de desague dentro de la vivienda (001)",12749,12155,594
"Red pública de desague fuera de la vivienda (002)",2906,2685,221
"Pozo séptico (003)",4370,2056,2314
"Pozo ciego o negro / letrina (004)",11853,3837,8016
"Río, acequia o canal (005)",1653,984,669
"No tiene (006)",8403,1796,6607
,,,
"URBANA (008)",22733,19405,3328
"Red pública de desague dentro de la vivienda (009)",12122,11636,486
"Red pública de desague fuera de la vivienda (010)",2632,2474,158
"Pozo séptico (011)",2190,1585,605
"Pozo ciego o negro / letrina (012)",3513,2285,1228
"Río, acequia o canal (013)",616,520,96
"No tiene (014)",1660,905,755
,,,
"RURAL (016)",19201,4108,15093
"Red pública de desague dentro de la vivienda (017)",627,519,108
"Red pública de desague fuera de la vivienda (018)",274,211,63
"Pozo séptico (019)",2180,471,1709
"Pozo ciego o negro / letrina (020)",8340,1552,6788
"Río, acequia o canal (021)",1037,464,573
"No tiene (022)",6743,891,5852
