"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CONTRALMIRANTE VILLAR (000)",10698,10331,367
"Hombres (001)",5682,5476,206
"Mujeres (002)",5016,4855,161
"De 18 a 29 años (003)",3590,3382,208
"Hombres (004)",1837,1710,127
"Mujeres (005)",1753,1672,81
"De 30 a 44 años (006)",3485,3450,35
"Hombres (007)",1839,1817,22
"Mujeres (008)",1646,1633,13
"De 45 a 64 años (009)",2582,2542,40
"Hombres (010)",1448,1423,25
"Mujeres (011)",1134,1119,15
"De 65 y más años (012)",1041,957,84
"Hombres (013)",558,526,32
"Mujeres (014)",483,431,52
,,,
"URBANA (015)",8218,7921,297
"Hombres (016)",4313,4150,163
"Mujeres (017)",3905,3771,134
"De 18 a 29 años (018)",2899,2715,184
"Hombres (019)",1465,1356,109
"Mujeres (020)",1434,1359,75
"De 30 a 44 años (021)",2692,2661,31
"Hombres (022)",1404,1385,19
"Mujeres (023)",1288,1276,12
"De 45 a 64 años (024)",1957,1929,28
"Hombres (025)",1100,1083,17
"Mujeres (026)",857,846,11
"De 65 y más años (027)",670,616,54
"Hombres (028)",344,326,18
"Mujeres (029)",326,290,36
,,,
"RURAL (030)",2480,2410,70
"Hombres (031)",1369,1326,43
"Mujeres (032)",1111,1084,27
"De 18 a 29 años (033)",691,667,24
"Hombres (034)",372,354,18
"Mujeres (035)",319,313,6
"De 30 a 44 años (036)",793,789,4
"Hombres (037)",435,432,3
"Mujeres (038)",358,357,1
"De 45 a 64 años (039)",625,613,12
"Hombres (040)",348,340,8
"Mujeres (041)",277,273,4
"De 65 y más años (042)",371,341,30
"Hombres (043)",214,200,14
"Mujeres (044)",157,141,16
