"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia REQUENA (000)",14791,676,8466,2820,651,236,118,49,5,,1770
"Sin Nivel (001)",850,94,452,108,26,14,8,8,,,140
"Educación Inicial (002)",13,1,8,,,,,,,,4
"Primaria (003)",8073,478,5197,1175,259,92,70,31,3,,768
"Secundaria (004)",4769,101,2577,1137,194,75,22,8,,,655
"Sup. no Univ. Incompleta (005)",245,2,73,88,28,5,6,,,,43
"Sup. no Univ. Completa (006)",533,,104,202,91,33,7,1,2,,93
"Sup. Univ. Incompleta (007)",106,,17,41,19,1,2,1,,,25
"Sup. Univ. Completa (008)",202,,38,69,34,16,3,,,,42
,,,,,,,,,,,
"URBANA (010)",8746,301,4606,1928,476,179,84,37,3,,1132
"Sin Nivel (011)",371,29,181,54,15,7,4,7,,,74
"Educación Inicial (012)",9,,6,,,,,,,,3
"Primaria (013)",3906,202,2380,649,159,65,44,20,1,,386
"Secundaria (014)",3514,69,1835,885,155,61,19,8,,,482
"Sup. no Univ. Incompleta (015)",217,1,65,79,22,5,5,,,,40
"Sup. no Univ. Completa (016)",464,,95,167,78,26,7,1,2,,88
"Sup. Univ. Incompleta (017)",91,,16,33,17,1,2,1,,,21
"Sup. Univ. Completa (018)",174,,28,61,30,14,3,,,,38
,,,,,,,,,,,
"RURAL (020)",6045,375,3860,892,175,57,34,12,2,,638
"Sin Nivel (021)",479,65,271,54,11,7,4,1,,,66
"Educación Inicial (022)",4,1,2,,,,,,,,1
"Primaria (023)",4167,276,2817,526,100,27,26,11,2,,382
"Secundaria (024)",1255,32,742,252,39,14,3,,,,173
"Sup. no Univ. Incompleta (025)",28,1,8,9,6,,1,,,,3
"Sup. no Univ. Completa (026)",69,,9,35,13,7,,,,,5
"Sup. Univ. Incompleta (027)",15,,1,8,2,,,,,,4
"Sup. Univ. Completa (028)",28,,10,8,4,2,,,,,4
