"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia LUYA",,,,,,,
"Viviendas particulares (001)",11658,2078,888,1019,5773,191,1709
"Ocupantes presentes (002)",48151,7812,3592,4336,25576,724,6111
"Casa independiente",,,,,,,
"Viviendas particulares (004)",11468,2060,851,1003,5724,191,1639
"Ocupantes presentes (005)",47554,7765,3465,4285,25394,724,5921
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",4,4,,,,,
"Ocupantes presentes (008)",7,7,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",5,3,2,,,,
"Ocupantes presentes (011)",16,11,5,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",43,9,34,,,,
"Ocupantes presentes (014)",143,23,120,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",127,,,16,46,,65
"Ocupantes presentes (017)",403,,,51,179,,173
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",1,,,,,,1
"Ocupantes presentes (020)",5,,,,,,5
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",7,2,1,,3,,1
"Ocupantes presentes (023)",12,6,2,,3,,1
"Otro tipo",,,,,,,
"Viviendas particulares (025)",3,,,,,,3
"Ocupantes presentes (026)",11,,,,,,11
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",5004,1755,604,355,1807,133,350
"Ocupantes presentes (029)",19349,6485,2351,1433,7494,498,1088
"Casa independiente",,,,,,,
"Viviendas particulares (031)",4944,1737,567,355,1806,133,346
"Ocupantes presentes (032)",19158,6438,2224,1433,7493,498,1072
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",4,4,,,,,
"Ocupantes presentes (035)",7,7,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",5,3,2,,,,
"Ocupantes presentes (038)",16,11,5,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",43,9,34,,,,
"Ocupantes presentes (041)",143,23,120,,,,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",1,,,,,,1
"Ocupantes presentes (047)",5,,,,,,5
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",4,2,1,,1,,
"Ocupantes presentes (050)",9,6,2,,1,,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",3,,,,,,3
"Ocupantes presentes (053)",11,,,,,,11
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",6654,323,284,664,3966,58,1359
"Ocupantes presentes (056)",28802,1327,1241,2903,18082,226,5023
"Casa independiente",,,,,,,
"Viviendas particulares (058)",6524,323,284,648,3918,58,1293
"Ocupantes presentes (059)",28396,1327,1241,2852,17901,226,4849
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",127,,,16,46,,65
"Ocupantes presentes (071)",403,,,51,179,,173
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",3,,,,2,,1
"Ocupantes presentes (077)",3,,,,2,,1
"Otro tipo",,,,,,,
