"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TOCACHE (000)",63138,4519,724,28471,21419,2556,2952,1004,1493
"Hombres (001)",35776,1661,374,15742,12988,1518,1837,686,970
"Mujeres (002)",27362,2858,350,12729,8431,1038,1115,318,523
"PEA (003)",30224,1849,31,11728,11004,1218,2438,648,1308
"Hombres (004)",23625,1199,21,9415,8980,908,1687,515,900
"Mujeres (005)",6599,650,10,2313,2024,310,751,133,408
"Ocupada (006)",29486,1792,29,11467,10688,1180,2399,635,1296
"Hombres (007)",23032,1155,19,9194,8733,877,1658,503,893
"Mujeres (008)",6454,637,10,2273,1955,303,741,132,403
"Desocupada (009)",738,57,2,261,316,38,39,13,12
"Hombres (010)",593,44,2,221,247,31,29,12,7
"Mujeres (011)",145,13,,40,69,7,10,1,5
"No PEA (012)",32914,2670,693,16743,10415,1338,514,356,185
"Hombres (013)",12151,462,353,6327,4008,610,150,171,70
"Mujeres (014)",20763,2208,340,10416,6407,728,364,185,115
,,,,,,,,,
"URBANA (018)",32281,1308,351,11924,12359,1880,2433,755,1271
"Hombres (019)",17589,424,182,5982,7087,1096,1490,511,817
"Mujeres (020)",14692,884,169,5942,5272,784,943,244,454
"PEA (021)",15501,459,16,4355,6196,845,2016,502,1112
"Hombres (022)",10990,227,9,2998,4670,583,1362,386,755
"Mujeres (023)",4511,232,7,1357,1526,262,654,116,357
"Ocupada (024)",15070,446,14,4216,5999,817,1986,491,1101
"Hombres (025)",10659,220,7,2886,4522,560,1339,376,749
"Mujeres (026)",4411,226,7,1330,1477,257,647,115,352
"Desocupada (027)",431,13,2,139,197,28,30,11,11
"Hombres (028)",331,7,2,112,148,23,23,10,6
"Mujeres (029)",100,6,,27,49,5,7,1,5
"No PEA (030)",16780,849,335,7569,6163,1035,417,253,159
"Hombres (031)",6599,197,173,2984,2417,513,128,125,62
"Mujeres (032)",10181,652,162,4585,3746,522,289,128,97
,,,,,,,,,
"RURAL (036)",30857,3211,373,16547,9060,676,519,249,222
"Hombres (037)",18187,1237,192,9760,5901,422,347,175,153
"Mujeres (038)",12670,1974,181,6787,3159,254,172,74,69
"PEA (039)",14723,1390,15,7373,4808,373,422,146,196
"Hombres (040)",12635,972,12,6417,4310,325,325,129,145
"Mujeres (041)",2088,418,3,956,498,48,97,17,51
"Ocupada (042)",14416,1346,15,7251,4689,363,413,144,195
"Hombres (043)",12373,935,12,6308,4211,317,319,127,144
"Mujeres (044)",2043,411,3,943,478,46,94,17,51
"Desocupada (045)",307,44,,122,119,10,9,2,1
"Hombres (046)",262,37,,109,99,8,6,2,1
"Mujeres (047)",45,7,,13,20,2,3,,
"No PEA (048)",16134,1821,358,9174,4252,303,97,103,26
"Hombres (049)",5552,265,180,3343,1591,97,22,46,8
"Mujeres (050)",10582,1556,178,5831,2661,206,75,57,18
