"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PATAZ (000)",72021,16783,2062,33953,12860,1599,2583,574,1607
"Quechua (001)",631,118,13,219,178,25,38,4,36
"Aymara (002)",25,3,,4,14,1,2,,1
"Ashaninca (003)",5,1,,4,,,,,
"Otra lengua nativa (004)",55,11,,22,14,,3,2,3
"Castellano (005)",71042,16416,2046,33687,12649,1573,2537,568,1566
"Es sordomudo/a (007)",263,234,3,17,5,,3,,1
"Hombres (009)",38322,6518,1012,18367,8090,1039,1782,395,1119
"Quechua (010)",444,35,10,140,163,24,36,4,32
"Aymara (011)",23,1,,4,14,1,2,,1
"Ashaninca (012)",1,,,1,,,,,
"Otra lengua nativa (013)",32,2,,14,11,,1,2,2
"Castellano (014)",37693,6367,1002,18197,7900,1014,1740,389,1084
"Es sordomudo/a (016)",129,113,,11,2,,3,,
"Mujeres (018)",33699,10265,1050,15586,4770,560,801,179,488
"Quechua (019)",187,83,3,79,15,1,2,,4
"Aymara (020)",2,2,,,,,,,
"Ashaninca (021)",4,1,,3,,,,,
"Otra lengua nativa (022)",23,9,,8,3,,2,,1
"Castellano (023)",33349,10049,1044,15490,4749,559,797,179,482
"Es sordomudo/a (025)",134,121,3,6,3,,,,1
,,,,,,,,,
"URBANA (027)",19080,2669,581,7259,4876,951,1412,333,999
"Quechua (028)",81,7,1,18,25,4,9,1,16
"Aymara (029)",6,1,,1,2,,1,,1
"Otra lengua nativa (031)",49,7,,22,13,,2,2,3
"Castellano (032)",18911,2631,577,7214,4834,947,1400,330,978
"Es sordomudo/a (034)",33,23,3,4,2,,,,1
"Hombres (036)",10112,1022,282,3654,2879,555,854,199,667
"Quechua (037)",58,2,1,9,21,4,8,1,12
"Aymara (038)",5,,,1,2,,1,,1
"Otra lengua nativa (040)",28,,,14,10,,,2,2
"Castellano (041)",10009,1012,281,3627,2845,551,845,196,652
"Es sordomudo/a (043)",12,8,,3,1,,,,
"Mujeres (045)",8968,1647,299,3605,1997,396,558,134,332
"Quechua (046)",23,5,,9,4,,1,,4
"Aymara (047)",1,1,,,,,,,
"Otra lengua nativa (049)",21,7,,8,3,,2,,1
"Castellano (050)",8902,1619,296,3587,1989,396,555,134,326
"Es sordomudo/a (052)",21,15,3,1,1,,,,1
,,,,,,,,,
"RURAL (054)",52941,14114,1481,26694,7984,648,1171,241,608
"Quechua (055)",550,111,12,201,153,21,29,3,20
"Aymara (056)",19,2,,3,12,1,1,,
"Ashaninca (057)",5,1,,4,,,,,
"Otra lengua nativa (058)",6,4,,,1,,1,,
"Castellano (059)",52131,13785,1469,26473,7815,626,1137,238,588
"Es sordomudo/a (061)",230,211,,13,3,,3,,
"Hombres (063)",28210,5496,730,14713,5211,484,928,196,452
"Quechua (064)",386,33,9,131,142,20,28,3,20
"Aymara (065)",18,1,,3,12,1,1,,
"Ashaninca (066)",1,,,1,,,,,
"Otra lengua nativa (067)",4,2,,,1,,1,,
"Castellano (068)",27684,5355,721,14570,5055,463,895,193,432
"Es sordomudo/a (070)",117,105,,8,1,,3,,
"Mujeres (072)",24731,8618,751,11981,2773,164,243,45,156
"Quechua (073)",164,78,3,70,11,1,1,,
"Aymara (074)",1,1,,,,,,,
"Ashaninca (075)",4,1,,3,,,,,
"Otra lengua nativa (076)",2,2,,,,,,,
"Castellano (077)",24447,8430,748,11903,2760,163,242,45,156
"Es sordomudo/a (079)",113,106,,5,2,,,,
