"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ILO (000)",17005,16116,889
"Red pública dentro de la vivienda (001)",13917,13625,292
"Red pública fuera de la vivienda (002)",1991,1760,231
"Pilón de uso público (003)",600,437,163
"Camión - cisterna u otro similar (004)",69,51,18
"Pozo (005)",86,71,15
"Río, acequia, manatial o similar (006)",62,24,38
"Vecino (007)",208,107,101
"Otro (008)",72,41,31
,,,
"URBANA (010)",16906,16067,839
"Red pública dentro de la vivienda (011)",13917,13625,292
"Red pública fuera de la vivienda (012)",1991,1760,231
"Pilón de uso público (013)",600,437,163
"Camión - cisterna u otro similar (014)",69,51,18
"Pozo (015)",48,41,7
"Río, acequia, manatial o similar (016)",9,5,4
"Vecino (017)",208,107,101
"Otro (018)",64,41,23
,,,
"RURAL (020)",99,49,50
"Pozo (025)",38,30,8
"Río, acequia, manatial o similar (026)",53,19,34
"Otro (028)",8,,8
