"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PAUCARTAMBO (000)",23202,4084,7903,5627,5588
"Asiste actualmente (001)",14175,1463,7010,4511,1191
"No asiste (002)",9027,2621,893,1116,4397
"Hombres (004)",11742,2062,3963,2859,2858
"Asiste actualmente (005)",7390,728,3519,2404,739
"No asiste (006)",4352,1334,444,455,2119
"Mujeres (008)",11460,2022,3940,2768,2730
"Asiste actualmente (009)",6785,735,3491,2107,452
"No asiste (010)",4675,1287,449,661,2278
,,,,,
"URBANA (012)",4089,638,1277,1081,1093
"Asiste actualmente (013)",2898,268,1235,1008,387
"No asiste (014)",1191,370,42,73,706
"Hombres (016)",2014,325,630,517,542
"Asiste actualmente (017)",1435,133,614,483,205
"No asiste (018)",579,192,16,34,337
"Mujeres (020)",2075,313,647,564,551
"Asiste actualmente (021)",1463,135,621,525,182
"No asiste (022)",612,178,26,39,369
,,,,,
"RURAL (024)",19113,3446,6626,4546,4495
"Asiste actualmente (025)",11277,1195,5775,3503,804
"No asiste (026)",7836,2251,851,1043,3691
"Hombres (028)",9728,1737,3333,2342,2316
"Asiste actualmente (029)",5955,595,2905,1921,534
"No asiste (030)",3773,1142,428,421,1782
"Mujeres (032)",9385,1709,3293,2204,2179
"Asiste actualmente (033)",5322,600,2870,1582,270
"No asiste (034)",4063,1109,423,622,1909
