"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MANU (000)",18723,2162,555,5857,7290,1016,848,434,561
"Quechua (001)",5731,498,53,2071,2347,291,239,116,116
"Aymara (002)",239,11,,68,119,14,10,6,11
"Ashaninca (003)",9,,,3,3,1,,1,1
"Otra lengua nativa (004)",1540,436,47,600,353,43,27,17,17
"Castellano (005)",11170,1211,454,3112,4464,663,572,294,400
"Idioma extranjero (006)",18,,,,1,1,,,16
"Es sordomudo/a (007)",16,6,1,3,3,3,,,
"Hombres (009)",10817,982,265,3128,4588,679,502,309,364
"Quechua (010)",3398,182,19,1133,1552,186,160,79,87
"Aymara (011)",153,5,,34,83,9,8,5,9
"Ashaninca (012)",8,,,2,3,1,,1,1
"Otra lengua nativa (013)",798,209,19,311,195,35,12,10,7
"Castellano (014)",6439,582,226,1645,2753,445,322,214,252
"Idioma extranjero (015)",8,,,,,,,,8
"Es sordomudo/a (016)",13,4,1,3,2,3,,,
"Mujeres (018)",7906,1180,290,2729,2702,337,346,125,197
"Quechua (019)",2333,316,34,938,795,105,79,37,29
"Aymara (020)",86,6,,34,36,5,2,1,2
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",742,227,28,289,158,8,15,7,10
"Castellano (023)",4731,629,228,1467,1711,218,250,80,148
"Idioma extranjero (024)",10,,,,1,1,,,8
"Es sordomudo/a (025)",3,2,,,1,,,,
,,,,,,,,,
"URBANA (027)",6704,707,209,2060,2455,428,370,190,285
"Quechua (028)",1804,186,6,612,661,137,98,55,49
"Aymara (029)",82,6,,23,37,4,4,1,7
"Ashaninca (030)",3,,,1,,1,,1,
"Otra lengua nativa (031)",149,17,5,63,58,4,1,,1
"Castellano (032)",4651,495,198,1358,1696,281,267,133,223
"Idioma extranjero (033)",5,,,,,,,,5
"Es sordomudo/a (034)",10,3,,3,3,1,,,
"Hombres (036)",3440,305,101,955,1333,253,194,132,167
"Quechua (037)",863,53,4,250,354,73,59,39,31
"Aymara (038)",52,1,,10,27,3,4,1,6
"Ashaninca (039)",3,,,1,,1,,1,
"Otra lengua nativa (040)",70,10,2,32,24,2,,,
"Castellano (041)",2444,240,95,659,926,173,131,91,129
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",7,1,,3,2,1,,,
"Mujeres (045)",3264,402,108,1105,1122,175,176,58,118
"Quechua (046)",941,133,2,362,307,64,39,16,18
"Aymara (047)",30,5,,13,10,1,,,1
"Otra lengua nativa (049)",79,7,3,31,34,2,1,,1
"Castellano (050)",2207,255,103,699,770,108,136,42,94
"Idioma extranjero (051)",4,,,,,,,,4
"Es sordomudo/a (052)",3,2,,,1,,,,
,,,,,,,,,
"RURAL (054)",12019,1455,346,3797,4835,588,478,244,276
"Quechua (055)",3927,312,47,1459,1686,154,141,61,67
"Aymara (056)",157,5,,45,82,10,6,5,4
"Ashaninca (057)",6,,,2,3,,,,1
"Otra lengua nativa (058)",1391,419,42,537,295,39,26,17,16
"Castellano (059)",6519,716,256,1754,2768,382,305,161,177
"Idioma extranjero (060)",13,,,,1,1,,,11
"Es sordomudo/a (061)",6,3,1,,,2,,,
"Hombres (063)",7377,677,164,2173,3255,426,308,177,197
"Quechua (064)",2535,129,15,883,1198,113,101,40,56
"Aymara (065)",101,4,,24,56,6,4,4,3
"Ashaninca (066)",5,,,1,3,,,,1
"Otra lengua nativa (067)",728,199,17,279,171,33,12,10,7
"Castellano (068)",3995,342,131,986,1827,272,191,123,123
"Idioma extranjero (069)",7,,,,,,,,7
"Es sordomudo/a (070)",6,3,1,,,2,,,
"Mujeres (072)",4642,778,182,1624,1580,162,170,67,79
"Quechua (073)",1392,183,32,576,488,41,40,21,11
"Aymara (074)",56,1,,21,26,4,2,1,1
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",663,220,25,258,124,6,14,7,9
"Castellano (077)",2524,374,125,768,941,110,114,38,54
"Idioma extranjero (078)",6,,,,1,1,,,4
