"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MARISCAL NIETO (000)",69509,2455,12135,13343,12919,11013,7484,4960,5200
"Quechua (001)",3093,6,93,484,622,601,565,404,318
"Aymara (002)",10875,44,358,1105,1737,2041,1997,1672,1921
"Ashaninca (003)",31,2,4,7,4,6,3,4,1
"Otra lengua nativa (004)",154,5,39,25,26,24,19,10,6
"Castellano (005)",55268,2396,11615,11707,10514,8329,4895,2864,2948
"Idioma extranjero (006)",23,,5,4,3,5,2,3,1
"Es sordomudo/a (007)",65,2,21,11,13,7,3,3,5
"Hombres (009)",35516,1278,6209,6716,6545,5519,3844,2675,2730
"Quechua (010)",1600,1,45,246,310,289,289,224,196
"Aymara (011)",5432,20,180,551,924,1026,942,846,943
"Ashaninca (012)",14,2,2,4,2,1,1,1,1
"Otra lengua nativa (013)",79,3,17,14,12,12,11,6,4
"Castellano (014)",28339,1251,5947,5893,5290,4183,2599,1595,1581
"Idioma extranjero (015)",11,,4,1,,3,,2,1
"Es sordomudo/a (016)",41,1,14,7,7,5,2,1,4
"Mujeres (018)",33993,1177,5926,6627,6374,5494,3640,2285,2470
"Quechua (019)",1493,5,48,238,312,312,276,180,122
"Aymara (020)",5443,24,178,554,813,1015,1055,826,978
"Ashaninca (021)",17,,2,3,2,5,2,3,
"Otra lengua nativa (022)",75,2,22,11,14,12,8,4,2
"Castellano (023)",26929,1145,5668,5814,5224,4146,2296,1269,1367
"Idioma extranjero (024)",12,,1,3,3,2,2,1,
"Es sordomudo/a (025)",24,1,7,4,6,2,1,2,1
,,,,,,,,,
"URBANA (027)",59848,2178,10679,11768,11112,9541,6326,4119,4125
"Quechua (028)",2748,6,88,435,541,529,507,364,278
"Aymara (029)",8155,13,159,739,1261,1614,1591,1297,1481
"Ashaninca (030)",26,,4,7,3,6,3,3,
"Otra lengua nativa (031)",99,4,26,16,14,16,11,7,5
"Castellano (032)",48748,2153,10380,10560,9280,7367,4209,2443,2356
"Idioma extranjero (033)",23,,5,4,3,5,2,3,1
"Es sordomudo/a (034)",49,2,17,7,10,4,3,2,4
"Hombres (036)",30039,1130,5436,5817,5458,4664,3177,2202,2155
"Quechua (037)",1350,1,41,214,251,231,251,193,168
"Aymara (038)",3926,7,66,347,626,789,723,639,729
"Ashaninca (039)",10,,2,4,2,1,1,,
"Otra lengua nativa (040)",48,2,11,8,7,6,6,5,3
"Castellano (041)",24662,1119,5301,5239,4567,3630,2194,1362,1250
"Idioma extranjero (042)",11,,4,1,,3,,2,1
"Es sordomudo/a (043)",32,1,11,4,5,4,2,1,4
"Mujeres (045)",29809,1048,5243,5951,5654,4877,3149,1917,1970
"Quechua (046)",1398,5,47,221,290,298,256,171,110
"Aymara (047)",4229,6,93,392,635,825,868,658,752
"Ashaninca (048)",16,,2,3,1,5,2,3,
"Otra lengua nativa (049)",51,2,15,8,7,10,5,2,2
"Castellano (050)",24086,1034,5079,5321,4713,3737,2015,1081,1106
"Idioma extranjero (051)",12,,1,3,3,2,2,1,
"Es sordomudo/a (052)",17,1,6,3,5,,1,1,
,,,,,,,,,
"RURAL (054)",9661,277,1456,1575,1807,1472,1158,841,1075
"Quechua (055)",345,,5,49,81,72,58,40,40
"Aymara (056)",2720,31,199,366,476,427,406,375,440
"Ashaninca (057)",5,2,,,1,,,1,1
"Otra lengua nativa (058)",55,1,13,9,12,8,8,3,1
"Castellano (059)",6520,243,1235,1147,1234,962,686,421,592
"Es sordomudo/a (061)",16,,4,4,3,3,,1,1
"Hombres (063)",5477,148,773,899,1087,855,667,473,575
"Quechua (064)",250,,4,32,59,58,38,31,28
"Aymara (065)",1506,13,114,204,298,237,219,207,214
"Ashaninca (066)",4,2,,,,,,1,1
"Otra lengua nativa (067)",31,1,6,6,5,6,5,1,1
"Castellano (068)",3677,132,646,654,723,553,405,233,331
"Es sordomudo/a (070)",9,,3,3,2,1,,,
"Mujeres (072)",4184,129,683,676,720,617,491,368,500
"Quechua (073)",95,,1,17,22,14,20,9,12
"Aymara (074)",1214,18,85,162,178,190,187,168,226
"Ashaninca (075)",1,,,,1,,,,
"Otra lengua nativa (076)",24,,7,3,7,2,3,2,
"Castellano (077)",2843,111,589,493,511,409,281,188,261
"Es sordomudo/a (079)",7,,1,1,1,2,,1,1
