"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia ABANCAY",,,,,,,,
"Hogares (001)",25940,20345,11870,4927,1253,4362,3338,4107
"Ocupantes presentes (002)",95842,78917,46956,19779,5192,18219,13570,11597
"Casa independiente",,,,,,,,
"Hogares (004)",22637,17811,9956,4169,1079,3861,2792,3672
"Ocupantes presentes (005)",85963,71001,40731,17232,4557,16335,11802,10608
"Departamento en edificio",,,,,,,,
"Hogares (007)",290,236,254,142,86,153,157,15
"Ocupantes presentes (008)",929,770,851,521,329,583,555,36
"Vivienda en quinta",,,,,,,,
"Hogares (010)",143,109,88,47,7,35,26,18
"Ocupantes presentes (011)",417,340,286,139,22,122,88,37
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",2498,1988,1545,563,80,308,356,235
"Ocupantes presentes (014)",7522,6156,5008,1870,283,1167,1102,563
"Choza o cabaña",,,,,,,,
"Hogares (016)",317,165,6,,,,,151
"Ocupantes presentes (017)",869,548,16,,,,,318
"Vivienda improvisada",,,,,,,,
"Hogares (019)",8,4,2,,,,,4
"Ocupantes presentes (020)",31,15,5,,,,,16
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",34,28,17,4,,5,6,3
"Ocupantes presentes (023)",93,83,57,15,,12,22,5
"Otro tipo",,,,,,,,
"Hogares (025)",13,4,2,2,1,,1,9
"Ocupantes presentes (026)",18,4,2,2,1,,1,14
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",16408,13517,10670,4698,1242,4253,3297,1536
"Ocupantes presentes (029)",60601,51459,41743,18759,5139,17783,13376,4330
"Casa independiente",,,,,,,,
"Hogares (031)",13427,11151,8763,3941,1068,3752,2751,1254
"Ocupantes presentes (032)",51599,44095,35536,16214,4504,15899,11608,3663
"Departamento en edificio",,,,,,,,
"Hogares (034)",290,236,254,142,86,153,157,15
"Ocupantes presentes (035)",929,770,851,521,329,583,555,36
"Vivienda en quinta",,,,,,,,
"Hogares (037)",143,109,88,47,7,35,26,18
"Ocupantes presentes (038)",417,340,286,139,22,122,88,37
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",2498,1988,1545,563,80,308,356,235
"Ocupantes presentes (041)",7522,6156,5008,1870,283,1167,1102,563
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",8,4,2,,,,,4
"Ocupantes presentes (047)",31,15,5,,,,,16
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",30,26,16,3,,5,6,1
"Ocupantes presentes (050)",86,80,55,13,,12,22,1
"Otro tipo",,,,,,,,
"Hogares (052)",12,3,2,2,1,,1,9
"Ocupantes presentes (053)",17,3,2,2,1,,1,14
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",9532,6828,1200,229,11,109,41,2571
"Ocupantes presentes (056)",35241,27458,5213,1020,53,436,194,7267
"Casa independiente",,,,,,,,
"Hogares (058)",9210,6660,1193,228,11,109,41,2418
"Ocupantes presentes (059)",34364,26906,5195,1018,53,436,194,6945
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",317,165,6,,,,,151
"Ocupantes presentes (071)",869,548,16,,,,,318
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",4,2,1,1,,,,2
"Ocupantes presentes (077)",7,3,2,2,,,,4
"Otro tipo",,,,,,,,
"Hogares (079)",1,1,,,,,,
"Ocupantes presentes (080)",1,1,,,,,,
