"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CASTILLA (000)",536,3,261,159,89,24
"Sin nivel (001)",26,,6,5,8,7
"Educación inicial (002)",2,,2,,,
"Primaria (003)",119,3,29,30,43,14
"Secundaria (004)",252,,149,72,30,1
"Superior no univ. incompleta (005)",40,,22,13,4,1
"Superior no univ. completa (006)",54,,33,17,3,1
"Superior univ. incompleta (007)",13,,8,5,,
"Superior univ. completa (008)",30,,12,17,1,
"Hombres (010)",384,1,181,112,70,20
"Sin nivel (011)",15,,4,2,4,5
"Educación inicial (012)",1,,1,,,
"Primaria (013)",90,1,19,22,35,13
"Secundaria (014)",194,,109,60,25,
"Superior no univ. incompleta (015)",31,,17,10,3,1
"Superior no univ. completa (016)",27,,17,7,2,1
"Superior univ. incompleta (017)",12,,7,5,,
"Superior univ. completa (018)",14,,7,6,1,
"Mujeres (020)",152,2,80,47,19,4
"Sin nivel (021)",11,,2,3,4,2
"Educación inicial (022)",1,,1,,,
"Primaria (023)",29,2,10,8,8,1
"Secundaria (024)",58,,40,12,5,1
"Superior no univ. incompleta (025)",9,,5,3,1,
"Superior no univ. completa (026)",27,,16,10,1,
"Superior univ. incompleta (027)",1,,1,,,
"Superior univ. completa (028)",16,,5,11,,
,,,,,,
"Area Urbana (030)",338,2,163,109,49,15
"Sin nivel (031)",15,,3,3,5,4
"Educación inicial (032)",2,,2,,,
"Primaria (033)",71,2,15,21,23,10
"Secundaria (034)",143,,86,42,14,1
"Superior no univ. incompleta (035)",29,,15,10,4,
"Superior no univ. completa (036)",41,,27,12,2,
"Superior univ. incompleta (037)",9,,5,4,,
"Superior univ. completa (038)",28,,10,17,1,
"Hombres (040)",230,1,109,72,37,11
"Sin nivel (041)",6,,2,,2,2
"Educación inicial (042)",1,,1,,,
"Primaria (043)",52,1,10,14,18,9
"Secundaria (044)",108,,60,36,12,
"Superior no univ. incompleta (045)",20,,10,7,3,
"Superior no univ. completa (046)",21,,15,5,1,
"Superior univ. incompleta (047)",9,,5,4,,
"Superior univ. completa (048)",13,,6,6,1,
"Mujeres (050)",108,1,54,37,12,4
"Sin nivel (051)",9,,1,3,3,2
"Educación inicial (052)",1,,1,,,
"Primaria (053)",19,1,5,7,5,1
"Secundaria (054)",35,,26,6,2,1
"Superior no univ. incompleta (055)",9,,5,3,1,
"Superior no univ. completa (056)",20,,12,7,1,
"Superior univ. completa (058)",15,,4,11,,
,,,,,,
"Area Rural (060)",198,1,98,50,40,9
"Sin nivel (061)",11,,3,2,3,3
"Primaria (063)",48,1,14,9,20,4
"Secundaria (064)",109,,63,30,16,
"Superior no univ. incompleta (065)",11,,7,3,,1
"Superior no univ. completa (066)",13,,6,5,1,1
"Superior univ. incompleta (067)",4,,3,1,,
"Superior univ. completa (068)",2,,2,,,
"Hombres (070)",154,,72,40,33,9
"Sin nivel (071)",9,,2,2,2,3
"Primaria (073)",38,,9,8,17,4
"Secundaria (074)",86,,49,24,13,
"Superior no univ. incompleta (075)",11,,7,3,,1
"Superior no univ. completa (076)",6,,2,2,1,1
"Superior univ. incompleta (077)",3,,2,1,,
"Superior univ. completa (078)",1,,1,,,
"Mujeres (080)",44,1,26,10,7,
"Sin nivel (081)",2,,1,,1,
"Primaria (083)",10,1,5,1,3,
"Secundaria (084)",23,,14,6,3,
"Superior no univ. completa (086)",7,,4,3,,
"Superior univ. incompleta (087)",1,,1,,,
"Superior univ. completa (088)",1,,1,,,
