"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CAMANA (000)",21985,2999,5686,5460,7840
"Asiste actualmente (001)",15203,1839,5520,5137,2707
"No asiste (002)",6782,1160,166,323,5133
"Hombres (004)",11289,1565,2935,2759,4030
"Asiste actualmente (005)",7655,957,2839,2574,1285
"No asiste (006)",3634,608,96,185,2745
"Mujeres (008)",10696,1434,2751,2701,3810
"Asiste actualmente (009)",7548,882,2681,2563,1422
"No asiste (010)",3148,552,70,138,2388
,,,,,
"URBANA (012)",18489,2494,4976,4876,6143
"Asiste actualmente (013)",13576,1612,4848,4629,2487
"No asiste (014)",4913,882,128,247,3656
"Hombres (016)",9316,1313,2561,2437,3005
"Asiste actualmente (017)",6783,832,2488,2299,1164
"No asiste (018)",2533,481,73,138,1841
"Mujeres (020)",9173,1181,2415,2439,3138
"Asiste actualmente (021)",6793,780,2360,2330,1323
"No asiste (022)",2380,401,55,109,1815
,,,,,
"RURAL (024)",3496,505,710,584,1697
"Asiste actualmente (025)",1627,227,672,508,220
"No asiste (026)",1869,278,38,76,1477
"Hombres (028)",1973,252,374,322,1025
"Asiste actualmente (029)",872,125,351,275,121
"No asiste (030)",1101,127,23,47,904
"Mujeres (032)",1523,253,336,262,672
"Asiste actualmente (033)",755,102,321,233,99
"No asiste (034)",768,151,15,29,573
