"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TAMBOPATA (000)",140,108,32
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",57,54,3
"Hospital, clinica (004)",7,6,1
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",8,7,1
"Otro (008)",41,29,12
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",26,11,15
