"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia TAHUAMANU (000)",3868,2008,47,57,1633,35,5,5,21,57
"Hombres (001)",1413,1006,36,25,279,13,2,1,20,31
"Mujeres (002)",2455,1002,11,32,1354,22,3,4,1,26
"De 06 a 14 años (003)",1660,1584,,,46,16,,,,14
"Hombres (004)",831,802,,,18,4,,,,7
"Mujeres (005)",829,782,,,28,12,,,,7
"De 15 a 29 años (006)",1140,411,6,12,665,,,2,21,23
"Hombres (007)",327,198,6,4,87,,,1,20,11
"Mujeres (008)",813,213,,8,578,,,1,1,12
"De 30 a 44 años (009)",537,10,2,21,493,,,1,,10
"Hombres (010)",89,5,2,6,70,,,,,6
"Mujeres (011)",448,5,,15,423,,,1,,4
"De 45 a 64 años (012)",332,2,15,13,291,1,4,,,6
"Hombres (013)",83,,11,8,59,,1,,,4
"Mujeres (014)",249,2,4,5,232,1,3,,,2
"De 65 y más años (015)",199,1,24,11,138,18,1,2,,4
"Hombres (016)",83,1,17,7,45,9,1,,,3
"Mujeres (017)",116,,7,4,93,9,,2,,1
,,,,,,,,,,
"AREA URBANA (018)",2771,1450,43,55,1128,32,1,4,21,37
"Hombres (019)",1012,713,34,23,188,12,,1,20,21
"Mujeres (020)",1759,737,9,32,940,20,1,3,1,16
"De 06 a 14 años (021)",1176,1125,,,31,14,,,,6
"Hombres (022)",580,558,,,15,4,,,,3
"Mujeres (023)",596,567,,,16,10,,,,3
"De 15 a 29 años (024)",843,315,6,12,471,,,1,21,17
"Hombres (025)",247,151,6,4,56,,,1,20,9
"Mujeres (026)",596,164,,8,415,,,,1,8
"De 30 a 44 años (027)",379,9,2,20,338,,,1,,9
"Hombres (028)",55,4,2,5,39,,,,,5
"Mujeres (029)",324,5,,15,299,,,1,,4
"De 45 a 64 años (030)",229,1,12,12,198,1,1,,,4
"Hombres (031)",65,,9,7,45,,,,,4
"Mujeres (032)",164,1,3,5,153,1,1,,,
"De 65 y más años (033)",144,,23,11,90,17,,2,,1
"Hombres (034)",65,,17,7,33,8,,,,
"Mujeres (035)",79,,6,4,57,9,,2,,1
,,,,,,,,,,
"AREA RURAL (036)",1097,558,4,2,505,3,4,1,,20
"Hombres (037)",401,293,2,2,91,1,2,,,10
"Mujeres (038)",696,265,2,,414,2,2,1,,10
"De 06 a 14 años (039)",484,459,,,15,2,,,,8
"Hombres (040)",251,244,,,3,,,,,4
"Mujeres (041)",233,215,,,12,2,,,,4
"De 15 a 29 años (042)",297,96,,,194,,,1,,6
"Hombres (043)",80,47,,,31,,,,,2
"Mujeres (044)",217,49,,,163,,,1,,4
"De 30 a 44 años (045)",158,1,,1,155,,,,,1
"Hombres (046)",34,1,,1,31,,,,,1
"Mujeres (047)",124,,,,124,,,,,
"De 45 a 64 años (048)",103,1,3,1,93,,3,,,2
"Hombres (049)",18,,2,1,14,,1,,,
"Mujeres (050)",85,1,1,,79,,2,,,2
"De 65 y más años (051)",55,1,1,,48,1,1,,,3
"Hombres (052)",18,1,,,12,1,1,,,3
"Mujeres (053)",37,,1,,36,,,,,
