"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia OCROS (000)",8686,1143,634,219,6701
"Sin Nivel (001)",987,243,46,13,687
"Educación Inicial (002)",186,84,14,6,82
"Primaria (003)",3782,522,205,72,2985
"Secundaria (004)",2723,248,144,42,2290
"Sup. no Univ. Incompleta (005)",230,15,17,18,180
"Sup. no Univ. Completa (006)",245,11,58,21,156
"Sup. Univ. Incompleta (007)",186,11,15,10,151
"Sup. Univ. Completa (008)",347,9,135,37,170
"Hombres (010)",4512,552,332,130,3502
"Sin Nivel (011)",356,109,15,6,226
"Educación Inicial (012)",82,31,8,3,40
"Primaria (013)",1881,263,108,39,1472
"Secundaria (014)",1608,122,84,26,1377
"Sup. no Univ. Incompleta (015)",137,10,11,12,104
"Sup. no Univ. Completa (016)",126,5,28,16,78
"Sup. Univ. Incompleta (017)",107,6,8,7,87
"Sup. Univ. Completa (018)",215,6,70,21,118
"Mujeres (020)",4174,591,302,89,3199
"Sin Nivel (021)",631,134,31,7,461
"Educación Inicial (022)",104,53,6,3,42
"Primaria (023)",1901,259,97,33,1513
"Secundaria (024)",1115,126,60,16,913
"Sup. no Univ. Incompleta (025)",93,5,6,6,76
"Sup. no Univ. Completa (026)",119,6,30,5,78
"Sup. Univ. Incompleta (027)",79,5,7,3,64
"Sup. Univ. Completa (028)",132,3,65,16,52
,,,,,
"URBANA (030)",5026,557,487,157,3836
"Sin Nivel (031)",503,120,36,10,339
"Educación Inicial (032)",111,40,11,5,55
"Primaria (033)",2121,252,147,54,1670
"Secundaria (034)",1560,111,110,21,1319
"Sup. no Univ. Incompleta (035)",148,8,15,9,116
"Sup. no Univ. Completa (036)",179,10,51,16,103
"Sup. Univ. Incompleta (037)",128,8,13,8,100
"Sup. Univ. Completa (038)",276,8,104,34,134
"Hombres (040)",2595,281,250,90,1978
"Sin Nivel (041)",169,53,12,4,100
"Educación Inicial (042)",55,17,7,2,29
"Primaria (043)",1013,138,75,29,772
"Secundaria (044)",934,53,66,12,804
"Sup. no Univ. Incompleta (045)",92,6,10,6,70
"Sup. no Univ. Completa (046)",90,4,23,12,52
"Sup. Univ. Incompleta (047)",76,4,6,5,62
"Sup. Univ. Completa (048)",166,6,51,20,89
"Mujeres (050)",2431,276,237,67,1858
"Sin Nivel (051)",334,67,24,6,239
"Educación Inicial (052)",56,23,4,3,26
"Primaria (053)",1108,114,72,25,898
"Secundaria (054)",626,58,44,9,515
"Sup. no Univ. Incompleta (055)",56,2,5,3,46
"Sup. no Univ. Completa (056)",89,6,28,4,51
"Sup. Univ. Incompleta (057)",52,4,7,3,38
"Sup. Univ. Completa (058)",110,2,53,14,45
,,,,,
"RURAL (060)",3660,586,147,62,2865
"Sin Nivel (061)",484,123,10,3,348
"Educación Inicial (062)",75,44,3,1,27
"Primaria (063)",1661,270,58,18,1315
"Secundaria (064)",1163,137,34,21,971
"Sup. no Univ. Incompleta (065)",82,7,2,9,64
"Sup. no Univ. Completa (066)",66,1,7,5,53
"Sup. Univ. Incompleta (067)",58,3,2,2,51
"Sup. Univ. Completa (068)",71,1,31,3,36
"Hombres (070)",1917,271,82,40,1524
"Sin Nivel (071)",187,56,3,2,126
"Educación Inicial (072)",27,14,1,1,11
"Primaria (073)",868,125,33,10,700
"Secundaria (074)",674,69,18,14,573
"Sup. no Univ. Incompleta (075)",45,4,1,6,34
"Sup. no Univ. Completa (076)",36,1,5,4,26
"Sup. Univ. Incompleta (077)",31,2,2,2,25
"Sup. Univ. Completa (078)",49,,19,1,29
"Mujeres (080)",1743,315,65,22,1341
"Sin Nivel (081)",297,67,7,1,222
"Educación Inicial (082)",48,30,2,,16
"Primaria (083)",793,145,25,8,615
"Secundaria (084)",489,68,16,7,398
"Sup. no Univ. Incompleta (085)",37,3,1,3,30
"Sup. no Univ. Completa (086)",30,,2,1,27
"Sup. Univ. Incompleta (087)",27,1,,,26
"Sup. Univ. Completa (088)",22,1,12,2,7
