"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LEONCIO PRADO (000)",2252,2071,181
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",407,407,
"Casa pensión (003)",22,20,2
"Hospital, clinica (004)",77,69,8
"Cárcel, centro de readaptación social (005)",61,61,
"Aldea infantil, orfelinato, etc (007)",230,188,42
"Otro (008)",1080,959,121
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",375,367,8
