"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHINCHEROS (000)",12894,296,6032,3675,1024,351,122,62,11,,1321
"Catolica (001)",8843,198,4071,2522,729,265,91,39,7,,921
"Cristiana / Evangelica (002)",3840,92,1874,1097,272,80,31,21,4,,369
"Otra (003)",87,3,35,20,10,4,,1,,,14
"Ninguna (004)",124,3,52,36,13,2,,1,,,17
,,,,,,,,,,,
"URBANA (006)",4149,79,1761,1223,437,157,47,28,2,,415
"Catolica (007)",2958,58,1237,854,318,127,35,19,2,,308
"Cristiana / Evangelica (008)",1106,20,490,345,105,25,12,8,,,101
"Otra (009)",37,,16,8,6,3,,1,,,3
"Ninguna (010)",48,1,18,16,8,2,,,,,3
,,,,,,,,,,,
"RURAL (012)",8745,217,4271,2452,587,194,75,34,9,,906
"Catolica (013)",5885,140,2834,1668,411,138,56,20,5,,613
"Cristiana / Evangelica (014)",2734,72,1384,752,167,55,19,13,4,,268
"Otra (015)",50,3,19,12,4,1,,,,,11
"Ninguna (016)",76,2,34,20,5,,,1,,,14
