"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia VICTOR FAJARDO (000)",25412,13112,3020,445,8850
"Menos de 1 año (001)",459,371,40,1,47
"De 1 a 14 años (002)",7930,6092,695,85,1064
"De 15 a 29 años (003)",5316,2253,603,117,2345
"De 30 a 44 años (004)",4446,1647,829,124,1852
"De 45 a 64 años (005)",4156,1547,610,73,1927
"De 65 y mas años (006)",3105,1202,243,45,1615
"Hombres (008)",12316,6042,1749,284,4251
"Menos de 1 año (009)",234,189,21,1,23
"De 1 a 14 años (010)",4021,3095,359,44,527
"De 15 a 29 años (011)",2680,1003,367,82,1228
"De 30 a 44 años (012)",2241,680,506,82,978
"De 45 a 64 años (013)",1839,603,342,47,848
"De 65 y mas años (014)",1301,472,154,28,647
"Mujeres (016)",13096,7070,1271,161,4599
"Menos de 1 año (017)",225,182,19,,24
"De 1 a 14 años (018)",3909,2997,336,41,537
"De 15 a 29 años (019)",2636,1250,236,35,1117
"De 30 a 44 años (020)",2205,967,323,42,874
"De 45 a 64 años (021)",2317,944,268,26,1079
"De 65 y mas años (022)",1804,730,89,17,968
,,,,,
"URBANA (024)",18904,9425,2734,333,6427
"Menos de 1 año (025)",328,261,37,1,29
"De 1 a 14 años (026)",5857,4398,620,57,788
"De 15 a 29 años (027)",4076,1676,565,87,1750
"De 30 a 44 años (028)",3444,1177,762,94,1417
"De 45 a 64 años (029)",3049,1081,539,60,1370
"De 65 y mas años (030)",2150,832,211,34,1073
"Hombres (032)",9228,4312,1602,208,3116
"Menos de 1 año (033)",173,140,19,1,13
"De 1 a 14 años (034)",2955,2217,318,27,397
"De 15 a 29 años (035)",2096,747,348,62,939
"De 30 a 44 años (036)",1748,477,475,62,739
"De 45 a 64 años (037)",1372,423,303,37,610
"De 65 y mas años (038)",884,308,139,19,418
"Mujeres (040)",9676,5113,1132,125,3311
"Menos de 1 año (041)",155,121,18,,16
"De 1 a 14 años (042)",2902,2181,302,30,391
"De 15 a 29 años (043)",1980,929,217,25,811
"De 30 a 44 años (044)",1696,700,287,32,678
"De 45 a 64 años (045)",1677,658,236,23,760
"De 65 y mas años (046)",1266,524,72,15,655
,,,,,
"RURAL (048)",6508,3687,286,112,2423
"Menos de 1 año (049)",131,110,3,,18
"De 1 a 14 años (050)",2073,1694,75,28,276
"De 15 a 29 años (051)",1240,577,38,30,595
"De 30 a 44 años (052)",1002,470,67,30,435
"De 45 a 64 años (053)",1107,466,71,13,557
"De 65 y mas años (054)",955,370,32,11,542
"Hombres (056)",3088,1730,147,76,1135
"Menos de 1 año (057)",61,49,2,,10
"De 1 a 14 años (058)",1066,878,41,17,130
"De 15 a 29 años (059)",584,256,19,20,289
"De 30 a 44 años (060)",493,203,31,20,239
"De 45 a 64 años (061)",467,180,39,10,238
"De 65 y mas años (062)",417,164,15,9,229
"Mujeres (064)",3420,1957,139,36,1288
"Menos de 1 año (065)",70,61,1,,8
"De 1 a 14 años (066)",1007,816,34,11,146
"De 15 a 29 años (067)",656,321,19,10,306
"De 30 a 44 años (068)",509,267,36,10,196
"De 45 a 64 años (069)",640,286,32,3,319
"De 65 y mas años (070)",538,206,17,2,313
