"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LA UNION (000)",5843,260,1361,2015,1564,643
"Empleado (001)",718,5,153,412,143,5
"Obrero (002)",769,21,280,254,170,44
"Trabajador independiente (003)",2795,37,509,909,889,451
"Empleador o patrono (004)",65,,9,16,26,14
"Trabajador familiar no remunerado (005)",1401,170,380,404,320,127
"Trabajador del hogar (006)",95,27,30,20,16,2
"Hombres (008)",3541,120,848,1167,1012,394
"Empleado (009)",369,,77,195,94,3
"Obrero (010)",617,16,233,197,141,30
"Trabajador independiente (011)",1976,16,337,646,663,314
"Empleador o patrono (012)",49,,6,13,19,11
"Trabajador familiar no remunerado (013)",514,82,191,114,92,35
"Trabajador del hogar (014)",16,6,4,2,3,1
"Mujeres (016)",2302,140,513,848,552,249
"Empleado (017)",349,5,76,217,49,2
"Obrero (018)",152,5,47,57,29,14
"Trabajador independiente (019)",819,21,172,263,226,137
"Empleador o patrono (020)",16,,3,3,7,3
"Trabajador familiar no remunerado (021)",887,88,189,290,228,92
"Trabajador del hogar (022)",79,21,26,18,13,1
,,,,,,
"URBANA (024)",2924,165,705,1056,723,275
"Empleado (025)",605,5,127,349,119,5
"Obrero (026)",418,12,149,145,88,24
"Trabajador independiente (027)",1224,32,242,389,380,181
"Empleador o patrono (028)",48,,7,14,16,11
"Trabajador familiar no remunerado (029)",586,100,160,156,116,54
"Trabajador del hogar (030)",43,16,20,3,4,
"Hombres (032)",1673,75,426,574,442,156
"Empleado (033)",299,,63,161,72,3
"Obrero (034)",337,10,124,114,73,16
"Trabajador independiente (035)",773,13,148,243,251,118
"Empleador o patrono (036)",37,,5,12,12,8
"Trabajador familiar no remunerado (037)",215,46,82,43,33,11
"Trabajador del hogar (038)",12,6,4,1,1,
"Mujeres (040)",1251,90,279,482,281,119
"Empleado (041)",306,5,64,188,47,2
"Obrero (042)",81,2,25,31,15,8
"Trabajador independiente (043)",451,19,94,146,129,63
"Empleador o patrono (044)",11,,2,2,4,3
"Trabajador familiar no remunerado (045)",371,54,78,113,83,43
"Trabajador del hogar (046)",31,10,16,2,3,
,,,,,,
"RURAL (048)",2919,95,656,959,841,368
"Empleado (049)",113,,26,63,24,
"Obrero (050)",351,9,131,109,82,20
"Trabajador independiente (051)",1571,5,267,520,509,270
"Empleador o patrono (052)",17,,2,2,10,3
"Trabajador familiar no remunerado (053)",815,70,220,248,204,73
"Trabajador del hogar (054)",52,11,10,17,12,2
"Hombres (056)",1868,45,422,593,570,238
"Empleado (057)",70,,14,34,22,
"Obrero (058)",280,6,109,83,68,14
"Trabajador independiente (059)",1203,3,189,403,412,196
"Empleador o patrono (060)",12,,1,1,7,3
"Trabajador familiar no remunerado (061)",299,36,109,71,59,24
"Trabajador del hogar (062)",4,,,1,2,1
"Mujeres (064)",1051,50,234,366,271,130
"Empleado (065)",43,,12,29,2,
"Obrero (066)",71,3,22,26,14,6
"Trabajador independiente (067)",368,2,78,117,97,74
"Empleador o patrono (068)",5,,1,1,3,
"Trabajador familiar no remunerado (069)",516,34,111,177,145,49
"Trabajador del hogar (070)",48,11,10,16,10,1
