"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SAN PABLO (000)",10565,1542,2991,2844,3188
"Asiste actualmente (001)",6324,617,2795,2222,690
"No asiste (002)",4241,925,196,622,2498
"Hombres (004)",5277,780,1487,1430,1580
"Asiste actualmente (005)",3338,301,1400,1199,438
"No asiste (006)",1939,479,87,231,1142
"Mujeres (008)",5288,762,1504,1414,1608
"Asiste actualmente (009)",2986,316,1395,1023,252
"No asiste (010)",2302,446,109,391,1356
,,,,,
"URBANA (012)",1461,218,379,420,444
"Asiste actualmente (013)",1091,146,367,388,190
"No asiste (014)",370,72,12,32,254
"Hombres (016)",729,100,195,212,222
"Asiste actualmente (017)",546,62,190,195,99
"No asiste (018)",183,38,5,17,123
"Mujeres (020)",732,118,184,208,222
"Asiste actualmente (021)",545,84,177,193,91
"No asiste (022)",187,34,7,15,131
,,,,,
"RURAL (024)",9104,1324,2612,2424,2744
"Asiste actualmente (025)",5233,471,2428,1834,500
"No asiste (026)",3871,853,184,590,2244
"Hombres (028)",4548,680,1292,1218,1358
"Asiste actualmente (029)",2792,239,1210,1004,339
"No asiste (030)",1756,441,82,214,1019
"Mujeres (032)",4556,644,1320,1206,1386
"Asiste actualmente (033)",2441,232,1218,830,161
"No asiste (034)",2115,412,102,376,1225
