"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ANDAHUAYLAS (000)",102463,32286,8681,1809,59823
"Conviviente (001)",16618,3813,1547,203,11069
"Separado(a) (002)",2336,553,216,45,1524
"Casado(a) (003)",40896,10962,4119,704,25185
"Viudo(a) (004)",5627,1869,211,53,3496
"Divorciado(a) (005)",396,75,60,12,249
"Soltero(a) (006)",36590,15014,2528,792,18300
"Hombres (008)",49093,13995,4119,1135,29943
"Conviviente (009)",8092,1431,759,129,5781
"Separado(a) (010)",438,64,51,18,306
"Casado(a) (011)",20152,4628,2053,406,13120
"Viudo(a) (012)",1072,307,49,13,703
"Divorciado(a) (013)",135,13,29,9,84
"Soltero(a) (014)",19204,7552,1178,560,9949
"Mujeres (016)",53370,18291,4562,674,29880
"Conviviente (017)",8526,2382,788,74,5288
"Separado(a) (018)",1898,489,165,27,1218
"Casado(a) (019)",20744,6334,2066,298,12065
"Viudo(a) (020)",4555,1562,162,40,2793
"Divorciado(a) (021)",261,62,31,3,165
"Soltero(a) (022)",17386,7462,1350,232,8351
,,,,,
"URBANA (024)",47372,10333,7966,1512,27667
"Conviviente (025)",9235,1521,1439,174,6111
"Separado(a) (026)",1284,217,203,41,825
"Casado(a) (027)",16537,2998,3733,566,9300
"Viudo(a) (028)",1888,460,174,44,1211
"Divorciado(a) (029)",218,23,56,12,127
"Soltero(a) (030)",18210,5114,2361,675,10093
"Hombres (032)",22675,4460,3738,981,13579
"Conviviente (033)",4496,575,700,116,3110
"Separado(a) (034)",257,21,47,18,172
"Casado(a) (035)",8121,1276,1837,343,4714
"Viudo(a) (036)",339,73,37,10,219
"Divorciado(a) (037)",84,3,27,9,45
"Soltero(a) (038)",9378,2512,1090,485,5319
"Mujeres (040)",24697,5873,4228,531,14088
"Conviviente (041)",4739,946,739,58,3001
"Separado(a) (042)",1027,196,156,23,653
"Casado(a) (043)",8416,1722,1896,223,4586
"Viudo(a) (044)",1549,387,137,34,992
"Divorciado(a) (045)",134,20,29,3,82
"Soltero(a) (046)",8832,2602,1271,190,4774
,,,,,
"RURAL (048)",55091,21953,715,297,32156
"Conviviente (049)",7383,2292,108,29,4958
"Separado(a) (050)",1052,336,13,4,699
"Casado(a) (051)",24359,7964,386,138,15885
"Viudo(a) (052)",3739,1409,37,9,2285
"Divorciado(a) (053)",178,52,4,,122
"Soltero(a) (054)",18380,9900,167,117,8207
"Hombres (056)",26418,9535,381,154,16364
"Conviviente (057)",3596,856,59,13,2671
"Separado(a) (058)",181,43,4,,134
"Casado(a) (059)",12031,3352,216,63,8406
"Viudo(a) (060)",733,234,12,3,484
"Divorciado(a) (061)",51,10,2,,39
"Soltero(a) (062)",9826,5040,88,75,4630
"Mujeres (064)",28673,12418,334,143,15792
"Conviviente (065)",3787,1436,49,16,2287
"Separado(a) (066)",871,293,9,4,565
"Casado(a) (067)",12328,4612,170,75,7479
"Viudo(a) (068)",3006,1175,25,6,1801
"Divorciado(a) (069)",127,42,2,,83
"Soltero(a) (070)",8554,4860,79,42,3577
