"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCANE (000)",66182,12018,3408,884,49899
"Sin Nivel (001)",12528,2553,326,107,9543
"Educación Inicial (002)",1487,829,82,18,558
"Primaria (003)",26999,5733,956,255,20067
"Secundaria (004)",19837,2710,877,298,15959
"Sup. no Univ. Incompleta (005)",1448,44,117,37,1251
"Sup. no Univ. Completa (006)",1564,51,452,70,995
"Sup. Univ. Incompleta (007)",1092,44,102,53,893
"Sup. Univ. Completa (008)",1227,54,496,46,633
"Hombres (010)",32021,5941,1817,565,23716
"Sin Nivel (011)",3503,1217,121,32,2134
"Educación Inicial (012)",734,409,43,11,271
"Primaria (013)",12827,2882,453,142,9355
"Secundaria (014)",11336,1319,402,221,9400
"Sup. no Univ. Incompleta (015)",938,21,70,31,817
"Sup. no Univ. Completa (016)",1012,31,297,48,640
"Sup. Univ. Incompleta (017)",777,23,66,43,645
"Sup. Univ. Completa (018)",894,39,365,37,454
"Mujeres (020)",34161,6077,1591,319,26183
"Sin Nivel (021)",9025,1336,205,75,7409
"Educación Inicial (022)",753,420,39,7,287
"Primaria (023)",14172,2851,503,113,10712
"Secundaria (024)",8501,1391,475,77,6559
"Sup. no Univ. Incompleta (025)",510,23,47,6,434
"Sup. no Univ. Completa (026)",552,20,155,22,355
"Sup. Univ. Incompleta (027)",315,21,36,10,248
"Sup. Univ. Completa (028)",333,15,131,9,179
,,,,,
"URBANA (030)",13138,1819,1957,440,8935
"Sin Nivel (031)",1399,305,121,9,965
"Educación Inicial (032)",297,120,51,8,118
"Primaria (033)",3988,741,436,67,2746
"Secundaria (034)",4629,541,512,200,3381
"Sup. no Univ. Incompleta (035)",640,29,88,28,496
"Sup. no Univ. Completa (036)",903,30,324,52,499
"Sup. Univ. Incompleta (037)",525,20,81,41,383
"Sup. Univ. Completa (038)",757,33,344,35,347
"Hombres (040)",6590,896,1024,315,4366
"Sin Nivel (041)",465,144,52,2,268
"Educación Inicial (042)",139,57,24,5,53
"Primaria (043)",1843,384,214,33,1213
"Secundaria (044)",2440,253,225,158,1809
"Sup. no Univ. Incompleta (045)",357,10,47,23,278
"Sup. no Univ. Completa (046)",502,16,186,34,268
"Sup. Univ. Incompleta (047)",342,9,49,33,251
"Sup. Univ. Completa (048)",502,23,227,27,226
"Mujeres (050)",6548,923,933,125,4569
"Sin Nivel (051)",934,161,69,7,697
"Educación Inicial (052)",158,63,27,3,65
"Primaria (053)",2145,357,222,34,1533
"Secundaria (054)",2189,288,287,42,1572
"Sup. no Univ. Incompleta (055)",283,19,41,5,218
"Sup. no Univ. Completa (056)",401,14,138,18,231
"Sup. Univ. Incompleta (057)",183,11,32,8,132
"Sup. Univ. Completa (058)",255,10,117,8,121
,,,,,
"RURAL (060)",53044,10199,1451,444,40964
"Sin Nivel (061)",11129,2248,205,98,8578
"Educación Inicial (062)",1190,709,31,10,440
"Primaria (063)",23011,4992,520,188,17321
"Secundaria (064)",15208,2169,365,98,12578
"Sup. no Univ. Incompleta (065)",808,15,29,9,755
"Sup. no Univ. Completa (066)",661,21,128,18,496
"Sup. Univ. Incompleta (067)",567,24,21,12,510
"Sup. Univ. Completa (068)",470,21,152,11,286
"Hombres (070)",25431,5045,793,250,19350
"Sin Nivel (071)",3038,1073,69,30,1866
"Educación Inicial (072)",595,352,19,6,218
"Primaria (073)",10984,2498,239,109,8142
"Secundaria (074)",8896,1066,177,63,7591
"Sup. no Univ. Incompleta (075)",581,11,23,8,539
"Sup. no Univ. Completa (076)",510,15,111,14,372
"Sup. Univ. Incompleta (077)",435,14,17,10,394
"Sup. Univ. Completa (078)",392,16,138,10,228
"Mujeres (080)",27613,5154,658,194,21614
"Sin Nivel (081)",8091,1175,136,68,6712
"Educación Inicial (082)",595,357,12,4,222
"Primaria (083)",12027,2494,281,79,9179
"Secundaria (084)",6312,1103,188,35,4987
"Sup. no Univ. Incompleta (085)",227,4,6,1,216
"Sup. no Univ. Completa (086)",151,6,17,4,124
"Sup. Univ. Incompleta (087)",132,10,4,2,116
"Sup. Univ. Completa (088)",78,5,14,1,58
