"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MOYOBAMBA (000)",42629,1442,16223,14581,8663,1720
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",79,,7,37,33,2
"Profes., científicos e intelectuales (002)",2939,,573,1772,570,24
"Técnicos de nivel medio y trab.asimilados (003)",1100,1,415,438,226,20
"Jefes y empleados de oficina (004)",1340,,580,468,288,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4273,56,1438,1606,1016,157
"Agricult.trabaj. calif. agrop. y pesqueros (006)",14285,152,4561,4904,3631,1037
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1690,34,631,629,346,50
"Obreros construc., conf., papel, fab., instr. (008)",2905,16,1088,1157,599,45
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",11816,1115,5928,2879,1601,293
"Otra (010)",177,,16,116,45,
"Ocupación no especificada (011)",1021,12,428,324,201,56
"Desocupado (012)",1004,56,558,251,107,32
"Hombres (013)",31386,1050,11999,10447,6509,1381
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",54,,7,22,23,2
"Profes., científicos e intelectuales (015)",1609,,293,944,354,18
"Técnicos de nivel medio y trab.asimilados (016)",690,1,258,269,146,16
"Jefes y empleados de oficina (017)",603,,207,220,174,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1757,24,581,645,438,69
"Agricult.trabaj. calif. agrop. y pesqueros (019)",13365,132,4243,4626,3392,972
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",1400,31,567,508,258,36
"Obreros construc., conf., papel, fab., instr. (021)",2845,16,1061,1139,588,41
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",7811,812,4234,1664,920,181
"Otra (023)",167,,15,108,44,
"Ocupación no especificada (024)",351,7,141,104,82,17
"Desocupado (025)",734,27,392,198,90,27
"Mujeres (026)",11243,392,4224,4134,2154,339
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",25,,,15,10,
"Profes., científicos e intelectuales (028)",1330,,280,828,216,6
"Técnicos de nivel medio y trab.asimilados (029)",410,,157,169,80,4
"Jefes y empleados de oficina (030)",737,,373,248,114,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",2516,32,857,961,578,88
"Agricult.trabaj. calif. agrop. y pesqueros (032)",920,20,318,278,239,65
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",290,3,64,121,88,14
