"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LA MAR (000)",19802,342,8962,5835,1621,545,260,105,15,,2117
"Conviviente (001)",6297,119,3112,1683,449,113,48,19,5,,749
"Separado(a) (002)",1023,23,484,301,81,32,15,4,2,,81
"Casado(a) (003)",9060,140,4196,2841,748,256,122,54,6,,697
"Viudo(a) (004)",2305,32,816,791,235,105,58,26,2,,240
"Divorciado(a) (005)",96,6,38,26,10,5,1,,,,10
"Soltero(a) (006)",1021,22,316,193,98,34,16,2,,,340
,,,,,,,,,,,
"URBANA (008)",8201,161,3483,2341,724,270,142,56,8,,1016
"Conviviente (009)",2976,63,1323,838,244,69,34,12,3,,390
"Separado(a) (010)",515,15,231,157,45,11,8,4,1,,43
"Casado(a) (011)",3361,52,1454,1028,305,127,58,23,4,,310
"Viudo(a) (012)",821,17,318,213,84,48,34,15,,,92
"Divorciado(a) (013)",52,5,22,10,4,3,1,,,,7
"Soltero(a) (014)",476,9,135,95,42,12,7,2,,,174
,,,,,,,,,,,
"RURAL (016)",11601,181,5479,3494,897,275,118,49,7,,1101
"Conviviente (017)",3321,56,1789,845,205,44,14,7,2,,359
"Separado(a) (018)",508,8,253,144,36,21,7,,1,,38
"Casado(a) (019)",5699,88,2742,1813,443,129,64,31,2,,387
"Viudo(a) (020)",1484,15,498,578,151,57,24,11,2,,148
"Divorciado(a) (021)",44,1,16,16,6,2,,,,,3
"Soltero(a) (022)",545,13,181,98,56,22,9,,,,166
