"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CUSCO (000)",160409,61658,14278,62667,4186,6720,5005,5895
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",539,361,,,178,,,
"Profes., científicos e intelectuales (002)",26236,20336,,5225,571,104,,
"Técnicos de nivel medio y trab. asimilados (003)",12672,7439,,4180,909,124,20,
"Jefes y empleados de oficina (004)",9783,9626,,78,,79,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",35949,11894,119,19695,1002,3230,9,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3900,6,1,3741,152,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",12483,,2497,8845,710,431,,
"Obreros construc.,conf.,papel, fab., instr. (008)",20688,2866,5983,11139,458,240,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",26421,5656,4939,8617,124,2111,4974,
"Otra (010)",1928,1928,,,,,,
"Ocupaciñn no especificada (011)",3915,1546,739,1147,82,401,,
"Desocupado (012)",5895,,,,,,,5895
"Hombres (013)",88997,32533,12829,34969,2589,2473,362,3242
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",347,234,,,113,,,
"Profes., científicos e intelectuales (015)",13043,9396,,3208,395,44,,
"Técnicos de nivel medio y trab. asimilados (016)",7226,3969,,2648,553,54,2,
"Jefes y empleados de oficina (017)",4711,4641,,42,,28,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",13560,6089,57,6349,381,684,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3101,5,1,2991,104,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",9946,,2150,6925,569,302,,
"Obreros construc.,conf.,papel, fab., instr. (021)",18722,2782,5734,9646,389,169,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",11059,2782,4262,2573,34,1050,358,
"Otra (023)",1768,1768,,,,,,
"Ocupaciñn no especificada (024)",2272,867,625,587,51,142,,
"Desocupado (025)",3242,,,,,,,3242
"Mujeres (026)",71412,29125,1449,27698,1597,4247,4643,2653
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",192,127,,,65,,,
"Profes., científicos e intelectuales (028)",13193,10940,,2017,176,60,,
"Técnicos de nivel medio y trab. asimilados (029)",5446,3470,,1532,356,70,18,
"Jefes y empleados de oficina (030)",5072,4985,,36,,51,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",22389,5805,62,13346,621,2546,9,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",799,1,,750,48,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",2537,,347,1920,141,129,,
"Obreros construc.,conf.,papel, fab., instr. (034)",1966,84,249,1493,69,71,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",15362,2874,677,6044,90,1061,4616,
"Otra (036)",160,160,,,,,,
"Ocupaciñn no especificada (037)",1643,679,114,560,31,259,,
"Desocupado (038)",2653,,,,,,,2653
,,,,,,,,
"URBANA (039)",154848,61093,13380,59525,4092,6054,4931,5773
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",534,356,,,178,,,
"Profes., científicos e intelectuales (041)",26143,20274,,5196,569,104,,
"Técnicos de nivel medio y trab. asimilados (042)",12586,7404,,4136,902,124,20,
"Jefes y empleados de oficina (043)",9711,9554,,78,,79,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",35415,11727,117,19374,991,3198,8,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2053,6,1,1942,104,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",12099,,2388,8604,696,411,,
"Obreros construc.,conf.,papel, fab., instr. (047)",19939,2791,5684,10781,448,234,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",24872,5536,4484,8311,122,1517,4902,
"Otra (049)",1915,1915,,,,,,
"Ocupaciñn no especificada (050)",3808,1530,706,1103,82,387,,
"Desocupado (051)",5773,,,,,,,5773
"Hombres (052)",85067,32189,11999,32676,2519,2181,353,3150
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",344,231,,,113,,,
"Profes., científicos e intelectuales (054)",12994,9364,,3193,393,44,,
"Técnicos de nivel medio y trab. asimilados (055)",7170,3948,,2619,547,54,2,
"Jefes y empleados de oficina (056)",4680,4610,,42,,28,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",13374,5996,56,6265,377,680,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1521,5,1,1448,67,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",9655,,2065,6743,558,289,,
"Obreros construc.,conf.,papel, fab., instr. (060)",18006,2707,5440,9315,380,163,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",10203,2711,3837,2485,33,787,350,
"Otra (062)",1756,1756,,,,,,
"Ocupaciñn no especificada (063)",2214,861,600,566,51,136,,
"Desocupado (064)",3150,,,,,,,3150
"Mujeres (065)",69781,28904,1381,26849,1573,3873,4578,2623
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",190,125,,,65,,,
"Profes., científicos e intelectuales (067)",13149,10910,,2003,176,60,,
"Técnicos de nivel medio y trab. asimilados (068)",5416,3456,,1517,355,70,18,
"Jefes y empleados de oficina (069)",5031,4944,,36,,51,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",22041,5731,61,13109,614,2518,8,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",532,1,,494,37,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",2444,,323,1861,138,122,,
"Obreros construc.,conf.,papel, fab., instr. (073)",1933,84,244,1466,68,71,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",14669,2825,647,5826,89,730,4552,
"Otra (075)",159,159,,,,,,
"Ocupaciñn no especificada (076)",1594,669,106,537,31,251,,
"Desocupado (077)",2623,,,,,,,2623
,,,,,,,,
"RURAL (078)",5561,565,898,3142,94,666,74,122
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",5,5,,,,,,
"Profes., científicos e intelectuales (080)",93,62,,29,2,,,
"Técnicos de nivel medio y trab. asimilados (081)",86,35,,44,7,,,
"Jefes y empleados de oficina (082)",72,72,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",534,167,2,321,11,32,1,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1847,,,1799,48,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",384,,109,241,14,20,,
"Obreros construc.,conf.,papel, fab., instr. (086)",749,75,299,358,10,6,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",1549,120,455,306,2,594,72,
"Otra (088)",13,13,,,,,,
"Ocupaciñn no especificada (089)",107,16,33,44,,14,,
"Desocupado (090)",122,,,,,,,122
"Hombres (091)",3930,344,830,2293,70,292,9,92
