"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CONTUMAZA (000)",23757,3421,3996,4258,3810,3111,5161
"Conviviente (001)",8271,74,1092,2319,1952,1290,1544
"Separado(a) (002)",835,6,104,175,178,167,205
"Casado(a) (003)",5182,3,105,652,1102,1216,2104
"Viudo(a) (004)",1122,1,4,20,51,102,944
"Divorciado(a) (005)",49,,2,4,9,11,23
"Soltero(a) (006)",8298,3337,2689,1088,518,325,341
"Hombres (008)",12089,1788,2042,2138,1905,1572,2644
"Conviviente (009)",4061,20,351,1122,1010,679,879
"Separado(a) (010)",206,,7,29,46,51,73
"Casado(a) (011)",2633,2,17,275,520,617,1202
"Viudo(a) (012)",348,1,,2,14,34,297
"Divorciado(a) (013)",21,,,2,3,5,11
"Soltero(a) (014)",4820,1765,1667,708,312,186,182
"Mujeres (016)",11668,1633,1954,2120,1905,1539,2517
"Conviviente (017)",4210,54,741,1197,942,611,665
"Separado(a) (018)",629,6,97,146,132,116,132
"Casado(a) (019)",2549,1,88,377,582,599,902
"Viudo(a) (020)",774,,4,18,37,68,647
"Divorciado(a) (021)",28,,2,2,6,6,12
"Soltero(a) (022)",3478,1572,1022,380,206,139,159
,,,,,,,
"URBANA (024)",10513,1485,1678,1818,1799,1474,2259
"Conviviente (025)",3034,26,391,871,756,497,493
"Separado(a) (026)",407,2,35,84,103,97,86
"Casado(a) (027)",2739,2,41,315,653,651,1077
"Viudo(a) (028)",506,,1,8,26,53,418
"Divorciado(a) (029)",28,,1,1,8,8,10
"Soltero(a) (030)",3799,1455,1209,539,253,168,175
"Hombres (032)",5180,768,855,864,857,716,1120
"Conviviente (033)",1454,11,127,388,385,270,273
"Separado(a) (034)",93,,3,13,24,31,22
"Casado(a) (035)",1383,1,9,134,302,322,615
"Viudo(a) (036)",144,,,,4,17,123
"Divorciado(a) (037)",12,,,1,3,3,5
"Soltero(a) (038)",2094,756,716,328,139,73,82
"Mujeres (040)",5333,717,823,954,942,758,1139
"Conviviente (041)",1580,15,264,483,371,227,220
"Separado(a) (042)",314,2,32,71,79,66,64
"Casado(a) (043)",1356,1,32,181,351,329,462
"Viudo(a) (044)",362,,1,8,22,36,295
"Divorciado(a) (045)",16,,1,,5,5,5
"Soltero(a) (046)",1705,699,493,211,114,95,93
,,,,,,,
"RURAL (048)",13244,1936,2318,2440,2011,1637,2902
"Conviviente (049)",5237,48,701,1448,1196,793,1051
"Separado(a) (050)",428,4,69,91,75,70,119
"Casado(a) (051)",2443,1,64,337,449,565,1027
"Viudo(a) (052)",616,1,3,12,25,49,526
"Divorciado(a) (053)",21,,1,3,1,3,13
"Soltero(a) (054)",4499,1882,1480,549,265,157,166
"Hombres (056)",6909,1020,1187,1274,1048,856,1524
"Conviviente (057)",2607,9,224,734,625,409,606
"Separado(a) (058)",113,,4,16,22,20,51
"Casado(a) (059)",1250,1,8,141,218,295,587
"Viudo(a) (060)",204,1,,2,10,17,174
"Divorciado(a) (061)",9,,,1,,2,6
"Soltero(a) (062)",2726,1009,951,380,173,113,100
"Mujeres (064)",6335,916,1131,1166,963,781,1378
"Conviviente (065)",2630,39,477,714,571,384,445
"Separado(a) (066)",315,4,65,75,53,50,68
"Casado(a) (067)",1193,,56,196,231,270,440
"Viudo(a) (068)",412,,3,10,15,32,352
"Divorciado(a) (069)",12,,1,2,1,1,7
"Soltero(a) (070)",1773,873,529,169,92,44,66
