"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUARMEY (000)",501,72,429
"De 14 a 29 años (001)",272,62,210
"De 30 a 44 años (002)",126,7,119
"De 45 a 64 años (003)",84,3,81
"De 65 y más años (004)",19,,19
"Hombres (005)",351,40,311
"De 14 a 29 años (006)",184,36,148
"De 30 a 44 años (007)",82,3,79
"De 45 a 64 años (008)",66,1,65
"De 65 y más años (009)",19,,19
"Mujeres (010)",150,32,118
"De 14 a 29 años (011)",88,26,62
"De 30 a 44 años (012)",44,4,40
"De 45 a 64 años (013)",18,2,16
,,,
"AREA URBANA (015)",407,56,351
"De 14 a 29 años (016)",204,48,156
"De 30 a 44 años (017)",112,6,106
"De 45 a 64 años (018)",75,2,73
"De 65 y más años (019)",16,,16
"Hombres (020)",277,29,248
"De 14 a 29 años (021)",134,26,108
"De 30 a 44 años (022)",70,3,67
"De 45 a 64 años (023)",57,,57
"De 65 y más años (024)",16,,16
"Mujeres (025)",130,27,103
"De 14 a 29 años (026)",70,22,48
"De 30 a 44 años (027)",42,3,39
"De 45 a 64 años (028)",18,2,16
,,,
"AREA RURAL (030)",94,16,78
"De 14 a 29 años (031)",68,14,54
"De 30 a 44 años (032)",14,1,13
"De 45 a 64 años (033)",9,1,8
"De 65 y más años (034)",3,,3
"Hombres (035)",74,11,63
"De 14 a 29 años (036)",50,10,40
"De 30 a 44 años (037)",12,,12
"De 45 a 64 años (038)",9,1,8
"De 65 y más años (039)",3,,3
"Mujeres (040)",20,5,15
"De 14 a 29 años (041)",18,4,14
"De 30 a 44 años (042)",2,1,1
