"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SANDIA (000)",58297,2749,14632,11478,9619,8014,5270,3152,3383
"Quechua (001)",31399,897,5699,5295,5331,5196,3737,2436,2808
"Aymara (002)",6117,51,386,972,1469,1364,935,490,450
"Ashaninca (003)",14,,1,4,2,5,1,1,
"Otra lengua nativa (004)",4,,2,1,1,,,,
"Castellano (005)",20702,1798,8529,5189,2809,1441,591,221,124
"Idioma extranjero (006)",4,,,1,1,,,2,
"Es sordomudo/a (007)",57,3,15,16,6,8,6,2,1
"Hombres (009)",31289,1383,7491,6112,5202,4372,3024,1784,1921
"Quechua (010)",16276,448,2914,2738,2721,2657,2017,1297,1484
"Aymara (011)",3704,27,211,525,854,805,613,322,347
"Ashaninca (012)",8,,1,3,2,2,,,
"Otra lengua nativa (013)",2,,1,1,,,,,
"Castellano (014)",11264,906,4358,2835,1620,903,390,163,89
"Idioma extranjero (015)",3,,,,1,,,2,
"Es sordomudo/a (016)",32,2,6,10,4,5,4,,1
"Mujeres (018)",27008,1366,7141,5366,4417,3642,2246,1368,1462
"Quechua (019)",15123,449,2785,2557,2610,2539,1720,1139,1324
"Aymara (020)",2413,24,175,447,615,559,322,168,103
"Ashaninca (021)",6,,,1,,3,1,1,
"Otra lengua nativa (022)",2,,1,,1,,,,
"Castellano (023)",9438,892,4171,2354,1189,538,201,58,35
"Idioma extranjero (024)",1,,,1,,,,,
"Es sordomudo/a (025)",25,1,9,6,2,3,2,2,
,,,,,,,,,
"URBANA (027)",15548,679,4097,3130,2477,2256,1322,762,825
"Quechua (028)",5924,78,654,854,1022,1233,854,549,680
"Aymara (029)",964,3,45,120,223,242,159,94,78
"Ashaninca (030)",8,,1,1,1,3,1,1,
"Otra lengua nativa (031)",2,,,1,1,,,,
"Castellano (032)",8632,598,3393,2147,1229,777,306,116,66
"Idioma extranjero (033)",2,,,,,,,2,
"Es sordomudo/a (034)",16,,4,7,1,1,2,,1
"Hombres (036)",7748,346,2012,1558,1180,1123,701,402,426
"Quechua (037)",2790,45,322,390,444,559,424,271,335
"Aymara (038)",524,1,29,69,105,131,90,49,50
"Ashaninca (039)",4,,1,1,1,1,,,
"Otra lengua nativa (040)",1,,,1,,,,,
"Castellano (041)",4416,300,1658,1092,629,432,185,80,40
"Idioma extranjero (042)",2,,,,,,,2,
"Es sordomudo/a (043)",11,,2,5,1,,2,,1
"Mujeres (045)",7800,333,2085,1572,1297,1133,621,360,399
"Quechua (046)",3134,33,332,464,578,674,430,278,345
"Aymara (047)",440,2,16,51,118,111,69,45,28
"Ashaninca (048)",4,,,,,2,1,1,
"Otra lengua nativa (049)",1,,,,1,,,,
"Castellano (050)",4216,298,1735,1055,600,345,121,36,26
"Es sordomudo/a (052)",5,,2,2,,1,,,
,,,,,,,,,
"RURAL (054)",42749,2070,10535,8348,7142,5758,3948,2390,2558
"Quechua (055)",25475,819,5045,4441,4309,3963,2883,1887,2128
"Aymara (056)",5153,48,341,852,1246,1122,776,396,372
"Ashaninca (057)",6,,,3,1,2,,,
"Otra lengua nativa (058)",2,,2,,,,,,
"Castellano (059)",12070,1200,5136,3042,1580,664,285,105,58
"Idioma extranjero (060)",2,,,1,1,,,,
"Es sordomudo/a (061)",41,3,11,9,5,7,4,2,
"Hombres (063)",23541,1037,5479,4554,4022,3249,2323,1382,1495
"Quechua (064)",13486,403,2592,2348,2277,2098,1593,1026,1149
"Aymara (065)",3180,26,182,456,749,674,523,273,297
"Ashaninca (066)",4,,,2,1,1,,,
"Otra lengua nativa (067)",1,,1,,,,,,
"Castellano (068)",6848,606,2700,1743,991,471,205,83,49
"Idioma extranjero (069)",1,,,,1,,,,
"Es sordomudo/a (070)",21,2,4,5,3,5,2,,
"Mujeres (072)",19208,1033,5056,3794,3120,2509,1625,1008,1063
"Quechua (073)",11989,416,2453,2093,2032,1865,1290,861,979
"Aymara (074)",1973,22,159,396,497,448,253,123,75
"Ashaninca (075)",2,,,1,,1,,,
"Otra lengua nativa (076)",1,,1,,,,,,
"Castellano (077)",5222,594,2436,1299,589,193,80,22,9
"Idioma extranjero (078)",1,,,1,,,,,
"Es sordomudo/a (079)",20,1,7,4,2,2,2,2,
