"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia LORETO (000)",12402,11979,11162,662,155,423,8,163,226,26
"Casa independiente (001)",9485,9150,8672,387,91,335,8,163,154,10
"Departamento en edificio (002)",3,3,3,,,,,,,
"Vivienda en quinta (003)",98,88,81,4,3,10,,,,10
"Vivienda en casa de vecindad (004)",5,5,5,,,,,,,
"Choza o cabaña (005)",2770,2695,2364,270,61,75,,,69,6
"Vivienda improvisada (006)",28,25,24,1,,3,,,3,
"Local no dest.para hab. humana (007)",8,8,8,,,,,,,
"Otro tipo (008)",5,5,5,,,,,,,
,,,,,,,,,,
"URBANA (009)",4865,4700,4529,158,13,165,5,59,85,16
"Casa independiente (010)",4723,4571,4408,153,10,152,5,59,82,6
"Departamento en edificio (011)",3,3,3,,,,,,,
"Vivienda en quinta (012)",98,88,81,4,3,10,,,,10
"Vivienda en casa de vecindad (013)",5,5,5,,,,,,,
"Vivienda improvisada (015)",28,25,24,1,,3,,,3,
"Local no dest.para hab. humana (016)",4,4,4,,,,,,,
"Otro tipo (017)",4,4,4,,,,,,,
,,,,,,,,,,
"RURAL (018)",7537,7279,6633,504,142,258,3,104,141,10
"Casa independiente (019)",4762,4579,4264,234,81,183,3,104,72,4
"Choza o cabaña (023)",2770,2695,2364,270,61,75,,,69,6
"Local no dest.para hab. humana (025)",4,4,4,,,,,,,
"Otro tipo (026)",1,1,1,,,,,,,
