"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUALLAGA (000)",22807,9373,2176,417,10867
"Sin Nivel (001)",2497,1312,140,19,1030
"Educación Inicial (002)",701,466,61,5,171
"Primaria (003)",12465,5505,682,171,6119
"Secundaria (004)",5654,1924,590,115,3028
"Sup. no Univ. Incompleta (005)",352,61,73,25,193
"Sup. no Univ. Completa (006)",566,51,306,41,170
"Sup. Univ. Incompleta (007)",145,22,57,9,58
"Sup. Univ. Completa (008)",427,32,267,32,98
"Hombres (010)",12114,4733,1073,224,6094
"Sin Nivel (011)",1118,625,74,10,410
"Educación Inicial (012)",376,247,32,2,96
"Primaria (013)",6582,2785,294,83,3426
"Secundaria (014)",3213,988,295,59,1872
"Sup. no Univ. Incompleta (015)",195,31,43,18,103
"Sup. no Univ. Completa (016)",301,29,154,24,94
"Sup. Univ. Incompleta (017)",81,8,35,6,33
"Sup. Univ. Completa (018)",248,20,146,22,60
"Mujeres (020)",10693,4640,1103,193,4773
"Sin Nivel (021)",1379,687,66,9,620
"Educación Inicial (022)",325,219,29,3,75
"Primaria (023)",5883,2720,388,88,2693
"Secundaria (024)",2441,936,295,56,1156
"Sup. no Univ. Incompleta (025)",157,30,30,7,90
"Sup. no Univ. Completa (026)",265,22,152,17,76
"Sup. Univ. Incompleta (027)",64,14,22,3,25
"Sup. Univ. Completa (028)",179,12,121,10,38
,,,,,
"URBANA (030)",12604,5085,1900,352,5284
"Sin Nivel (031)",912,523,98,14,277
"Educación Inicial (032)",318,213,48,4,55
"Primaria (033)",5972,2724,554,130,2571
"Secundaria (034)",4040,1478,540,102,1923
"Sup. no Univ. Incompleta (035)",312,54,72,22,164
"Sup. no Univ. Completa (036)",504,43,276,39,148
"Sup. Univ. Incompleta (037)",139,20,56,9,55
"Sup. Univ. Completa (038)",407,30,256,32,91
"Hombres (040)",6461,2530,917,186,2835
"Sin Nivel (041)",419,251,47,7,114
"Educación Inicial (042)",169,112,24,2,32
"Primaria (043)",2960,1359,228,61,1316
"Secundaria (044)",2160,732,263,50,1116
"Sup. no Univ. Incompleta (045)",172,26,42,15,89
"Sup. no Univ. Completa (046)",267,24,138,23,82
"Sup. Univ. Incompleta (047)",79,8,35,6,31
"Sup. Univ. Completa (048)",235,18,140,22,55
"Mujeres (050)",6143,2555,983,166,2449
"Sin Nivel (051)",493,272,51,7,163
"Educación Inicial (052)",149,101,24,2,23
"Primaria (053)",3012,1365,326,69,1255
"Secundaria (054)",1880,746,277,52,807
"Sup. no Univ. Incompleta (055)",140,28,30,7,75
"Sup. no Univ. Completa (056)",237,19,138,16,66
"Sup. Univ. Incompleta (057)",60,12,21,3,24
"Sup. Univ. Completa (058)",172,12,116,10,36
,,,,,
"RURAL (060)",10203,4288,276,65,5583
"Sin Nivel (061)",1585,789,42,5,753
"Educación Inicial (062)",383,253,13,1,116
"Primaria (063)",6493,2781,128,41,3548
"Secundaria (064)",1614,446,50,13,1105
"Sup. no Univ. Incompleta (065)",40,7,1,3,29
"Sup. no Univ. Completa (066)",62,8,30,2,22
"Sup. Univ. Incompleta (067)",6,2,1,,3
"Sup. Univ. Completa (068)",20,2,11,,7
"Hombres (070)",5653,2203,156,38,3259
"Sin Nivel (071)",699,374,27,3,296
"Educación Inicial (072)",207,135,8,,64
"Primaria (073)",3622,1426,66,22,2110
"Secundaria (074)",1053,256,32,9,756
"Sup. no Univ. Incompleta (075)",23,5,1,3,14
"Sup. no Univ. Completa (076)",34,5,16,1,12
"Sup. Univ. Incompleta (077)",2,,,,2
"Sup. Univ. Completa (078)",13,2,6,,5
"Mujeres (080)",4550,2085,120,27,2324
"Sin Nivel (081)",886,415,15,2,457
"Educación Inicial (082)",176,118,5,1,52
"Primaria (083)",2871,1355,62,19,1438
"Secundaria (084)",561,190,18,4,349
"Sup. no Univ. Incompleta (085)",17,2,,,15
"Sup. no Univ. Completa (086)",28,3,14,1,10
"Sup. Univ. Incompleta (087)",4,2,1,,1
"Sup. Univ. Completa (088)",7,,5,,2
