"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANTA (000)",27905,23898,1853,933,1221
"Sin nivel (001)",3720,3531,124,43,22
"Educación inicial (002)",32,30,1,1,
"Primaria (003)",10922,10124,551,134,113
"Secundaria (004)",8961,7931,636,177,217
"Superior no univ. incompleta (005)",805,605,71,44,85
"Superior no univ. completa (006)",1730,863,246,280,341
"Superior univ. incompleta (007)",486,327,50,25,84
"Superior univ. completa (008)",1249,487,174,229,359
"De 06 a 14 años (010)",666,593,59,13,1
"Sin nivel (011)",25,22,3,,
"Educación inicial (012)",4,3,1,,
"Primaria (013)",474,424,39,11,
"Secundaria (014)",163,144,16,2,1
"De 15 a 29 años (020)",9995,8603,773,304,315
"Sin nivel (021)",237,212,21,3,1
"Educación inicial (022)",16,15,,1,
"Primaria (023)",3000,2745,176,51,28
"Secundaria (024)",5253,4668,393,105,87
"Superior no univ. incompleta (025)",376,288,38,23,27
"Superior no univ. completa (026)",589,368,73,68,80
"Superior univ. incompleta (027)",206,149,24,9,24
"Superior univ. completa (028)",318,158,48,44,68
"De 30 a 44 años (030)",9408,7667,661,441,639
"Sin nivel (031)",1086,1012,38,25,11
"Educación inicial (032)",12,12,,,
"Primaria (033)",3977,3678,198,50,51
"Secundaria (034)",2362,2074,157,48,83
"Superior no univ. incompleta (035)",297,217,25,15,40
"Superior no univ. completa (036)",884,354,141,174,215
"Superior univ. incompleta (037)",172,101,19,9,43
"Superior univ. completa (038)",618,219,83,120,196
"De 45 a 64 años (040)",6255,5525,317,160,253
"Sin nivel (041)",1667,1602,46,9,10
"Primaria (043)",2802,2634,120,19,29
"Secundaria (044)",1052,925,65,20,42
"Superior no univ. incompleta (045)",117,87,7,6,17
"Superior no univ. completa (046)",236,124,31,36,45
"Superior univ. incompleta (047)",98,68,6,7,17
"Superior univ. completa (048)",283,85,42,63,93
"De 65 y más años (050)",1581,1510,43,15,13
"Sin nivel (051)",705,683,16,6,
"Primaria (053)",669,643,18,3,5
"Secundaria (054)",131,120,5,2,4
"Superior no univ. incompleta (055)",15,13,1,,1
"Superior no univ. completa (056)",21,17,1,2,1
"Superior univ. incompleta (057)",10,9,1,,
"Superior univ. completa (058)",30,25,1,2,2
,,,,,
