"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHINCHA (000)",75318,39223,7071,9574,19450
"Hombres (001)",48861,25604,5080,6092,12085
"Mujeres (002)",26457,13619,1991,3482,7365
"De 06 a 14 años (003)",778,656,80,27,15
"Hombres (004)",531,445,58,20,8
"Mujeres (005)",247,211,22,7,7
"De 15 a 29 años (006)",26112,11337,2595,3672,8508
"Hombres (007)",17216,7649,1856,2371,5340
"Mujeres (008)",8896,3688,739,1301,3168
"De 30 a 44 años (009)",27978,13516,2605,3984,7873
"Hombres (010)",17462,8560,1811,2400,4691
"Mujeres (011)",10516,4956,794,1584,3182
"De 45 a 64 años (012)",17549,11204,1644,1785,2916
"Hombres (013)",11595,7214,1237,1218,1926
"Mujeres (014)",5954,3990,407,567,990
"De 65 y más años (015)",2901,2510,147,106,138
"Hombres (016)",2057,1736,118,83,120
"Mujeres (017)",844,774,29,23,18
,,,,,
"URBANA (018)",67495,35236,6217,8486,17556
"Hombres (019)",43318,22900,4390,5294,10734
"Mujeres (020)",24177,12336,1827,3192,6822
"De 06 a 14 años (021)",720,612,74,25,9
"Hombres (022)",486,412,52,18,4
"Mujeres (023)",234,200,22,7,5
"De 15 a 29 años (024)",23456,10360,2299,3210,7587
"Hombres (025)",15362,6991,1618,2045,4708
"Mujeres (026)",8094,3369,681,1165,2879
"De 30 a 44 años (027)",25226,12246,2279,3547,7154
"Hombres (028)",15529,7721,1545,2089,4174
"Mujeres (029)",9697,4525,734,1458,2980
"De 45 a 64 años (030)",15613,9895,1433,1607,2678
"Hombres (031)",10180,6308,1068,1067,1737
"Mujeres (032)",5433,3587,365,540,941
"De 65 y más años (033)",2480,2123,132,97,128
"Hombres (034)",1761,1468,107,75,111
"Mujeres (035)",719,655,25,22,17
,,,,,
"RURAL (036)",7823,3987,854,1088,1894
"Hombres (037)",5543,2704,690,798,1351
"Mujeres (038)",2280,1283,164,290,543
"De 06 a 14 años (039)",58,44,6,2,6
"Hombres (040)",45,33,6,2,4
"Mujeres (041)",13,11,,,2
"De 15 a 29 años (042)",2656,977,296,462,921
"Hombres (043)",1854,658,238,326,632
"Mujeres (044)",802,319,58,136,289
"De 30 a 44 años (045)",2752,1270,326,437,719
"Hombres (046)",1933,839,266,311,517
"Mujeres (047)",819,431,60,126,202
"De 45 a 64 años (048)",1936,1309,211,178,238
"Hombres (049)",1415,906,169,151,189
"Mujeres (050)",521,403,42,27,49
"De 65 y más años (051)",421,387,15,9,10
"Hombres (052)",296,268,11,8,9
"Mujeres (053)",125,119,4,1,1
