"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia RECUAY",,,,,,,,,
"Viviendas particulares (001)",4906,874,1638,934,784,280,186,73,137
"Ocupantes presentes (002)",18746,2637,5942,3739,3288,1235,884,345,676
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",4573,720,1535,888,760,274,186,73,137
"Ocupantes presentes (005)",17754,2195,5634,3608,3209,1203,884,345,676
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",8,3,5,,,,,,
"Ocupantes presentes (011)",27,9,18,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",44,16,15,4,7,2,,,
"Ocupantes presentes (014)",154,63,47,15,17,12,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",273,128,82,42,17,4,,,
"Ocupantes presentes (017)",783,351,234,116,62,20,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",4,3,1,,,,,,
"Ocupantes presentes (020)",18,9,9,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",4,4,,,,,,,
"Ocupantes presentes (023)",10,10,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2740,349,807,521,523,216,143,61,120
"Ocupantes presentes (029)",10563,1042,2849,2130,2107,928,641,286,580
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2680,323,786,517,516,214,143,61,120
"Ocupantes presentes (032)",10354,951,2775,2115,2090,916,641,286,580
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",8,3,5,,,,,,
"Ocupantes presentes (038)",27,9,18,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",44,16,15,4,7,2,,,
"Ocupantes presentes (041)",154,63,47,15,17,12,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",4,3,1,,,,,,
"Ocupantes presentes (047)",18,9,9,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,4,,,,,,,
"Ocupantes presentes (050)",10,10,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2166,525,831,413,261,64,43,12,17
"Ocupantes presentes (056)",8183,1595,3093,1609,1181,307,243,59,96
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1893,397,749,371,244,60,43,12,17
"Ocupantes presentes (059)",7400,1244,2859,1493,1119,287,243,59,96
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",273,128,82,42,17,4,,,
"Ocupantes presentes (071)",783,351,234,116,62,20,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
