"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LUYA (000)",15874,397,5065,5074,3772,1566
"Agric., ganadería, caza y silvicultura (001)",11268,326,3647,3255,2737,1303
"Explotación de minas y canteras (003)",6,,1,4,1,
"Industrias manufactureras (004)",422,4,140,125,123,30
"Suministro de electricidad, gas y agua (005)",9,,3,3,3,
"Construcción (006)",414,4,152,157,90,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",738,13,190,296,182,57
"Venta, mant.y rep. veh.autom.y motoc. (008)",21,,13,5,3,
"Comercio al por mayor (009)",39,1,8,19,11,
"Comercio al por menor (010)",678,12,169,272,168,57
"Hoteles y restaurantes (011)",147,6,37,47,44,13
"Trans., almac. y comunicaciones (012)",160,,73,61,23,3
"Activid.inmobil., empres. y alquileres (014)",30,,9,14,6,1
"Admin.pub. y defensa; p. segur.soc afil (015)",285,,87,131,64,3
"Enseñanza (016)",802,,151,490,156,5
"Servicios sociales y de salud (017)",177,,56,96,24,1
"Otras activ. serv.comun.soc y personales (018)",201,,76,71,49,5
"Hogares privados con servicio doméstico (019)",500,25,205,116,111,43
"Actividad economica no especificada (021)",552,1,155,168,146,82
"Desocupado (022)",163,18,83,40,13,9
"Hombres (023)",12764,336,4151,3953,3037,1287
"Agric., ganadería, caza y silvicultura (024)",10598,301,3467,3060,2564,1206
"Explotación de minas y canteras (026)",6,,1,4,1,
"Industrias manufactureras (027)",221,2,87,65,53,14
"Suministro de electricidad, gas y agua (028)",9,,3,3,3,
"Construcción (029)",410,4,150,156,89,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",321,6,94,126,75,20
"Venta, mant.y rep. veh.autom.y motoc. (031)",17,,12,4,1,
"Comercio al por mayor (032)",26,1,5,11,9,
"Comercio al por menor (033)",278,5,77,111,65,20
"Hoteles y restaurantes (034)",22,4,5,4,7,2
"Trans., almac. y comunicaciones (035)",142,,63,55,21,3
"Activid.inmobil., empres. y alquileres (037)",18,,5,8,4,1
"Admin.pub. y defensa; p. segur.soc afil (038)",195,,51,88,55,1
"Enseñanza (039)",400,,62,246,89,3
"Servicios sociales y de salud (040)",69,,19,41,9,
"Otras activ. serv.comun.soc y personales (041)",121,,47,41,29,4
"Hogares privados con servicio doméstico (042)",19,5,7,4,2,1
"Actividad economica no especificada (044)",99,,37,21,26,15
"Desocupado (045)",114,14,53,31,10,6
