"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PADRE ABAD (000)",43061,9377,3445,1027,29300
"Hombres (001)",24073,4606,2067,776,16684
"Mujeres (002)",18988,4771,1378,251,12616
"PEA (003)",20661,2305,1985,726,15695
"Hombres (004)",15628,1548,1482,625,12013
"Mujeres (005)",5033,757,503,101,3682
"Ocupada (006)",20103,2271,1954,716,15212
"Hombres (007)",15230,1529,1468,617,11656
"Mujeres (008)",4873,742,486,99,3556
"Desocupada (009)",558,34,31,10,483
"Hombres (010)",398,19,14,8,357
"Mujeres (011)",160,15,17,2,126
"No PEA (012)",22400,7072,1460,301,13605
"Hombres (013)",8445,3058,585,151,4671
"Mujeres (014)",13955,4014,875,150,8934
,,,,,
"URBANA (018)",23139,3620,2768,894,15918
"Hombres (019)",12483,1687,1684,687,8469
"Mujeres (020)",10656,1933,1084,207,7449
"PEA (021)",11076,739,1646,638,8091
"Hombres (022)",7950,438,1227,554,5760
"Mujeres (023)",3126,301,419,84,2331
"Ocupada (024)",10691,725,1629,629,7746
"Hombres (025)",7680,433,1220,547,5509
"Mujeres (026)",3011,292,409,82,2237
"Desocupada (027)",385,14,17,9,345
"Hombres (028)",270,5,7,7,251
"Mujeres (029)",115,9,10,2,94
"No PEA (030)",12063,2881,1122,256,7827
"Hombres (031)",4533,1249,457,133,2709
"Mujeres (032)",7530,1632,665,123,5118
,,,,,
"RURAL (036)",19922,5757,677,133,13382
"Hombres (037)",11590,2919,383,89,8215
"Mujeres (038)",8332,2838,294,44,5167
"PEA (039)",9585,1566,339,88,7604
"Hombres (040)",7678,1110,255,71,6253
"Mujeres (041)",1907,456,84,17,1351
"Ocupada (042)",9412,1546,325,87,7466
"Hombres (043)",7550,1096,248,70,6147
"Mujeres (044)",1862,450,77,17,1319
"Desocupada (045)",173,20,14,1,138
"Hombres (046)",128,14,7,1,106
"Mujeres (047)",45,6,7,,32
"No PEA (048)",10337,4191,338,45,5778
"Hombres (049)",3912,1809,128,18,1962
"Mujeres (050)",6425,2382,210,27,3816
