"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CAJAMARCA (000)",276800,58812,95165,63134,42264,17425
"Sin nivel (001)",31004,1712,3691,6939,10371,8291
"Educación inicial (002)",3536,3223,201,112,,
"Primaria (003)",115515,44359,28258,21162,15284,6452
"Secundaria (004)",72959,9518,38895,15546,7588,1412
"Superior no univ. incompleta (005)",7808,,4967,2016,726,99
"Superior no univ. completa (006)",13645,,4740,6040,2455,410
"Superior univ. incompleta (007)",12083,,9157,1974,874,78
"Superior univ. completa (008)",20250,,5256,9345,4966,683
"PEA (010)",112644,1734,42413,40119,23630,4748
"Sin nivel (011)",7471,106,1014,1869,2888,1594
"Educación inicial (012)",153,27,76,50,,
"Primaria (013)",37290,1254,12896,11562,9121,2457
"Secundaria (014)",33364,347,16725,11024,4891,377
"Superior no univ. incompleta (015)",3995,,1933,1499,526,37
"Superior no univ. completa (016)",10161,,3517,4850,1720,74
"Superior univ. incompleta (017)",4392,,2276,1429,667,20
"Superior univ. completa (018)",15818,,3976,7836,3817,189
"Ocupada (020)",106196,1563,39000,38287,22762,4584
"Sin nivel (021)",7060,88,930,1759,2748,1535
"Educación inicial (022)",149,27,75,47,,
"Primaria (023)",34930,1125,11829,10903,8702,2371
"Secundaria (024)",31126,323,15240,10466,4733,364
"Superior no univ. incompleta (025)",3835,,1842,1441,515,37
"Superior no univ. completa (026)",9725,,3275,4704,1674,72
"Superior univ. incompleta (027)",4188,,2149,1372,647,20
