"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHOTA (000)",38911,15818,23093
"Red pública de desague dentro de la vivienda (001)",6332,5797,535
"Red pública de desague fuera de la vivienda (002)",839,683,156
"Pozo séptico (003)",592,194,398
"Pozo ciego o negro / letrina (004)",19985,6989,12996
"Río, acequia o canal (005)",395,148,247
"No tiene (006)",10768,2007,8761
,,,
"URBANA (008)",8457,7141,1316
"Red pública de desague dentro de la vivienda (009)",6069,5581,488
"Red pública de desague fuera de la vivienda (010)",685,576,109
"Pozo séptico (011)",59,42,17
"Pozo ciego o negro / letrina (012)",774,468,306
"Río, acequia o canal (013)",117,91,26
"No tiene (014)",753,383,370
,,,
"RURAL (016)",30454,8677,21777
"Red pública de desague dentro de la vivienda (017)",263,216,47
"Red pública de desague fuera de la vivienda (018)",154,107,47
"Pozo séptico (019)",533,152,381
"Pozo ciego o negro / letrina (020)",19211,6521,12690
"Río, acequia o canal (021)",278,57,221
"No tiene (022)",10015,1624,8391
