"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SECHURA (000)",979,41,497,261,155,25
"Sin nivel (001)",21,1,6,4,7,3
"Educación inicial (002)",5,,3,2,,
"Primaria (003)",444,31,155,127,110,21
"Secundaria (004)",351,9,229,90,23,
"Superior no univ. incompleta (005)",46,,27,15,4,
"Superior no univ. completa (006)",67,,48,15,4,
"Superior univ. incompleta (007)",15,,13,1,1,
"Superior univ. completa (008)",30,,16,7,6,1
"Hombres (010)",829,31,400,228,145,25
"Sin nivel (011)",19,1,6,3,6,3
"Educación inicial (012)",5,,3,2,,
"Primaria (013)",394,23,130,117,103,21
"Secundaria (014)",303,7,195,79,22,
"Superior no univ. incompleta (015)",35,,21,10,4,
"Superior no univ. completa (016)",38,,23,12,3,
"Superior univ. incompleta (017)",13,,11,1,1,
"Superior univ. completa (018)",22,,11,4,6,1
"Mujeres (020)",150,10,97,33,10,
"Sin nivel (021)",2,,,1,1,
"Primaria (023)",50,8,25,10,7,
"Secundaria (024)",48,2,34,11,1,
"Superior no univ. incompleta (025)",11,,6,5,,
"Superior no univ. completa (026)",29,,25,3,1,
"Superior univ. incompleta (027)",2,,2,,,
"Superior univ. completa (028)",8,,5,3,,
,,,,,,
"Area Urbana (030)",926,39,466,247,151,23
"Sin nivel (031)",16,1,4,2,7,2
"Educación inicial (032)",5,,3,2,,
"Primaria (033)",414,29,141,118,106,20
"Secundaria (034)",338,9,219,87,23,
"Superior no univ. incompleta (035)",42,,23,15,4,
"Superior no univ. completa (036)",67,,48,15,4,
"Superior univ. incompleta (037)",15,,13,1,1,
"Superior univ. completa (038)",29,,15,7,6,1
"Hombres (040)",780,30,372,214,141,23
"Sin nivel (041)",14,1,4,1,6,2
"Educación inicial (042)",5,,3,2,,
"Primaria (043)",366,22,117,108,99,20
"Secundaria (044)",292,7,187,76,22,
"Superior no univ. incompleta (045)",31,,17,10,4,
"Superior no univ. completa (046)",38,,23,12,3,
"Superior univ. incompleta (047)",13,,11,1,1,
"Superior univ. completa (048)",21,,10,4,6,1
"Mujeres (050)",146,9,94,33,10,
"Sin nivel (051)",2,,,1,1,
"Primaria (053)",48,7,24,10,7,
"Secundaria (054)",46,2,32,11,1,
"Superior no univ. incompleta (055)",11,,6,5,,
"Superior no univ. completa (056)",29,,25,3,1,
"Superior univ. incompleta (057)",2,,2,,,
"Superior univ. completa (058)",8,,5,3,,
,,,,,,
"Area Rural (060)",53,2,31,14,4,2
"Sin nivel (061)",5,,2,2,,1
"Primaria (063)",30,2,14,9,4,1
"Secundaria (064)",13,,10,3,,
"Superior no univ. incompleta (065)",4,,4,,,
"Superior univ. completa (068)",1,,1,,,
"Hombres (070)",49,1,28,14,4,2
"Sin nivel (071)",5,,2,2,,1
"Primaria (073)",28,1,13,9,4,1
"Secundaria (074)",11,,8,3,,
"Superior no univ. incompleta (075)",4,,4,,,
"Superior univ. completa (078)",1,,1,,,
"Mujeres (080)",4,1,3,,,
"Primaria (083)",2,1,1,,,
"Secundaria (084)",2,,2,,,
