"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PICOTA (000)",316,81,235
"De 14 a 29 años (001)",169,66,103
"De 30 a 44 años (002)",88,15,73
"De 45 a 64 años (003)",49,,49
"De 65 y más años (004)",10,,10
"Hombres (005)",234,50,184
"De 14 a 29 años (006)",117,36,81
"De 30 a 44 años (007)",68,14,54
"De 45 a 64 años (008)",41,,41
"De 65 y más años (009)",8,,8
"Mujeres (010)",82,31,51
"De 14 a 29 años (011)",52,30,22
"De 30 a 44 años (012)",20,1,19
"De 45 a 64 años (013)",8,,8
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",269,58,211
"De 14 a 29 años (016)",137,45,92
"De 30 a 44 años (017)",80,13,67
"De 45 a 64 años (018)",42,,42
"De 65 y más años (019)",10,,10
"Hombres (020)",201,36,165
"De 14 a 29 años (021)",96,24,72
"De 30 a 44 años (022)",62,12,50
"De 45 a 64 años (023)",35,,35
"De 65 y más años (024)",8,,8
"Mujeres (025)",68,22,46
"De 14 a 29 años (026)",41,21,20
"De 30 a 44 años (027)",18,1,17
"De 45 a 64 años (028)",7,,7
"De 65 y más años (029)",2,,2
,,,
"AREA RURAL (030)",47,23,24
"De 14 a 29 años (031)",32,21,11
"De 30 a 44 años (032)",8,2,6
"De 45 a 64 años (033)",7,,7
"Hombres (035)",33,14,19
"De 14 a 29 años (036)",21,12,9
"De 30 a 44 años (037)",6,2,4
"De 45 a 64 años (038)",6,,6
"Mujeres (040)",14,9,5
"De 14 a 29 años (041)",11,9,2
"De 30 a 44 años (042)",2,,2
"De 45 a 64 años (043)",1,,1
