"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHEPEN (000)",26640,17526,3958,3243,1913
"Empleado (001)",4943,2036,818,1106,983
"Obrero (002)",10212,4908,2369,2024,911
"Trabajador independiente (003)",9150,8585,565,,
"Empleador o patrono (004)",671,509,85,66,11
"Trabajador familiar no remunerado (005)",1058,882,121,47,8
"Trabajador del hogar (006)",606,606,,,
"De 06 a 14 años (008)",461,263,79,88,31
"Empleado (009)",39,31,5,3,
"Obrero (010)",215,66,47,71,31
"Trabajador independiente (011)",50,47,3,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",149,111,24,14,
"Trabajador del hogar (014)",7,7,,,
"De 15 a 29 años (016)",8257,5178,1415,1114,550
"Empleado (017)",1562,854,256,279,173
"Obrero (018)",3877,1764,935,805,373
"Trabajador independiente (019)",2031,1878,153,,
"Empleador o patrono (020)",114,81,18,12,3
"Trabajador familiar no remunerado (021)",400,328,53,18,1
"Trabajador del hogar (022)",273,273,,,
"De 30 a 44 años (024)",9706,6216,1452,1263,775
"Empleado (025)",2164,770,379,554,461
"Obrero (026)",3431,1647,807,671,306
"Trabajador independiente (027)",3422,3208,214,,
"Empleador o patrono (028)",226,169,27,27,3
"Trabajador familiar no remunerado (029)",268,227,25,11,5
"Trabajador del hogar (030)",195,195,,,
"De 45 a 64 años (032)",6926,4826,890,698,512
"Empleado (033)",1108,347,165,261,335
"Obrero (034)",2295,1197,509,414,175
"Trabajador independiente (035)",2965,2798,167,,
"Empleador o patrono (036)",255,197,34,22,2
"Trabajador familiar no remunerado (037)",186,170,15,1,
"Trabajador del hogar (038)",117,117,,,
"De 65 y más años (040)",1290,1043,122,80,45
"Empleado (041)",70,34,13,9,14
"Obrero (042)",394,234,71,63,26
"Trabajador independiente (043)",682,654,28,,
"Empleador o patrono (044)",75,61,6,5,3
"Trabajador familiar no remunerado (045)",55,46,4,3,2
"Trabajador del hogar (046)",14,14,,,
,,,,,
"URBANA (048)",22281,14616,3039,2889,1737
"Empleado (049)",4763,1958,774,1072,959
"Obrero (050)",7537,3390,1665,1721,761
"Trabajador independiente (051)",8053,7593,460,,
"Empleador o patrono (052)",592,451,71,59,11
"Trabajador familiar no remunerado (053)",765,653,69,37,6
