"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHACHAPOYAS (000)",62,62,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",31,31,
"Casa pensión (003)",3,3,
"Hospital, clinica (004)",5,5,
"Cárcel, centro de readaptación social (005)",1,1,
"Asilo (006)",1,1,
"Otro (008)",13,13,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",8,8,
