"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia VIRU (000)",69831,10699,2059,29512,19783,2601,2170,1325,1682
"Jefe o Jefa (001)",18303,2076,33,8149,5414,804,797,348,682
"Esposa(o)/ compa¤era(o) (002)",11908,2158,26,5364,3124,410,350,172,304
"Hijo(a)/ hijastro(a) (003)",28112,4390,1578,11556,7807,1021,673,611,476
"Yerno/ nuera (004)",1139,29,2,318,579,64,74,22,51
"Nieto(a) (005)",2709,676,285,1065,547,42,42,36,16
"Padres/ suegros (006)",783,453,,261,48,4,9,1,7
"Otro(a) pariente (007)",4996,736,116,2105,1554,163,147,92,83
"Trabajador(a) del hogar (008)",76,21,,38,14,2,1,,
"Pensionista (009)",441,37,,125,209,27,16,16,11
"Otro(a) no pariente (010)",1364,123,19,531,487,64,61,27,52
"Hombres (012)",36126,4175,1082,15426,11142,1421,1187,742,951
"Jefe o Jefa (013)",13667,1032,22,6233,4308,625,627,285,535
"Esposa(o)/ compa¤era(o) (014)",1288,90,4,505,479,78,49,25,58
"Hijo(a)/ hijastro(a) (015)",14873,2197,823,6175,4301,522,314,325,216
"Yerno/ nuera (016)",540,5,2,128,288,35,42,14,26
"Nieto(a) (017)",1437,363,148,551,311,16,21,14,13
"Padres/ suegros (018)",290,87,,155,34,1,7,1,5
"Otro(a) pariente (019)",2853,318,70,1261,935,94,77,44,54
"Trabajador(a) del hogar (020)",11,4,,5,1,1,,,
"Pensionista (021)",320,29,,87,150,20,11,15,8
"Otro(a) no pariente (022)",847,50,13,326,335,29,39,19,36
"Mujeres (024)",33705,6524,977,14086,8641,1180,983,583,731
"Jefe o Jefa (025)",4636,1044,11,1916,1106,179,170,63,147
"Esposa(o)/ compa¤era(o) (026)",10620,2068,22,4859,2645,332,301,147,246
"Hijo(a)/ hijastro(a) (027)",13239,2193,755,5381,3506,499,359,286,260
"Yerno/ nuera (028)",599,24,,190,291,29,32,8,25
"Nieto(a) (029)",1272,313,137,514,236,26,21,22,3
"Padres/ suegros (030)",493,366,,106,14,3,2,,2
"Otro(a) pariente (031)",2143,418,46,844,619,69,70,48,29
"Trabajador(a) del hogar (032)",65,17,,33,13,1,1,,
"Pensionista (033)",121,8,,38,59,7,5,1,3
"Otro(a) no pariente (034)",517,73,6,205,152,35,22,8,16
,,,,,,,,,
"URBANA (036)",53444,7445,1682,21887,15958,2165,1804,1101,1402
"Jefe o Jefa (037)",14013,1253,28,5958,4522,688,684,297,583
"Esposa(o)/ compa¤era(o) (038)",9012,1411,19,3966,2558,365,298,130,265
"Hijo(a)/ hijastro(a) (039)",21414,3261,1311,8592,6044,791,534,506,375
"Yerno/ nuera (040)",864,19,1,238,447,47,56,19,37
"Nieto(a) (041)",1932,481,218,747,387,34,29,25,11
"Padres/ suegros (042)",598,342,,202,39,4,3,1,7
"Otro(a) pariente (043)",3949,526,89,1601,1309,146,126,81,71
"Trabajador(a) del hogar (044)",60,16,,31,11,1,1,,
"Pensionista (045)",415,36,,113,198,27,16,15,10
