"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHUCUITO (000)",124979,2094,38070,35024,22390,17921,9480
"Jefe o Jefa (001)",33639,,138,6152,10527,10739,6083
"Esposa(o) / compañera(o) (002)",18838,,38,5010,6752,5155,1883
"Hijo(a) / hijastro(a) (003)",52773,1601,31035,17228,2485,408,16
"Yerno / nuera (004)",1662,,18,1108,464,66,6
"Nieto(a) (005)",4543,346,3413,759,24,1,
"Padres / suegros (006)",1161,,,2,26,292,841
"Otro(a) pariente (007)",9496,135,3028,3394,1506,926,507
"Trabajador(a) del hogar (008)",202,,15,146,21,14,6
"Pensionistas (009)",36,,,19,10,5,2
"Otro(a) no pariente (010)",2629,12,385,1206,575,315,136
"Hombres (011)",63584,1084,19614,17723,11319,9099,4745
"Jefe o Jefa (012)",24270,,74,4444,8078,7744,3930
"Esposa(o) / compañera(o) (013)",1036,,20,379,335,218,84
"Hijo(a) / hijastro(a) (014)",27810,838,15902,9507,1343,214,6
"Yerno / nuera (015)",711,,12,413,242,40,4
"Nieto(a) (016)",2404,162,1805,423,14,,
"Padres / suegros (017)",487,,,1,9,133,344
"Otro(a) pariente (018)",5162,77,1592,1820,870,513,290
"Trabajador(a) del hogar (019)",50,,6,28,9,5,2
"Pensionistas (020)",27,,,15,7,4,1
"Otro(a) no pariente (021)",1627,7,203,693,412,228,84
"Mujeres (022)",61395,1010,18456,17301,11071,8822,4735
"Jefe o Jefa (023)",9369,,64,1708,2449,2995,2153
"Esposa(o) / compañera(o) (024)",17802,,18,4631,6417,4937,1799
"Hijo(a) / hijastro(a) (025)",24963,763,15133,7721,1142,194,10
"Yerno / nuera (026)",951,,6,695,222,26,2
"Nieto(a) (027)",2139,184,1608,336,10,1,
"Padres / suegros (028)",674,,,1,17,159,497
"Otro(a) pariente (029)",4334,58,1436,1574,636,413,217
"Trabajador(a) del hogar (030)",152,,9,118,12,9,4
"Pensionistas (031)",9,,,4,3,1,1
"Otro(a) no pariente (032)",1002,5,182,513,163,87,52
,,,,,,,
"URBANA (033)",34521,572,10354,10987,6810,4285,1513
"Jefe o Jefa (034)",8453,,55,1885,3126,2508,879
"Esposa(o) / compañera(o) (035)",4891,,12,1531,1999,1106,243
"Hijo(a) / hijastro(a) (036)",14184,449,8374,4724,565,67,5
"Yerno / nuera (037)",425,,3,311,104,7,
"Nieto(a) (038)",900,79,670,146,5,,
"Padres / suegros (039)",349,,,2,13,115,219
"Otro(a) pariente (040)",3531,39,1039,1469,590,287,107
"Trabajador(a) del hogar (041)",145,,8,122,11,3,1
"Pensionistas (042)",24,,,12,8,2,2
"Otro(a) no pariente (043)",1619,5,193,785,389,190,57
"Hombres (044)",17721,296,5335,5532,3520,2257,781
"Jefe o Jefa (045)",6130,,26,1355,2376,1803,570
"Esposa(o) / compañera(o) (046)",341,,8,138,109,65,21
"Hijo(a) / hijastro(a) (047)",7442,232,4295,2570,317,26,2
"Yerno / nuera (048)",172,,2,118,47,5,
"Nieto(a) (049)",455,37,345,70,3,,
"Padres / suegros (050)",150,,,1,4,57,88
"Otro(a) pariente (051)",1969,23,551,789,377,167,62
"Trabajador(a) del hogar (052)",31,,1,23,6,1,
"Pensionistas (053)",16,,,9,5,1,1
"Otro(a) no pariente (054)",1015,4,107,459,276,132,37
"Mujeres (055)",16800,276,5019,5455,3290,2028,732
"Jefe o Jefa (056)",2323,,29,530,750,705,309
"Esposa(o) / compañera(o) (057)",4550,,4,1393,1890,1041,222
"Hijo(a) / hijastro(a) (058)",6742,217,4079,2154,248,41,3
"Yerno / nuera (059)",253,,1,193,57,2,
"Nieto(a) (060)",445,42,325,76,2,,
"Padres / suegros (061)",199,,,1,9,58,131
"Otro(a) pariente (062)",1562,16,488,680,213,120,45
"Trabajador(a) del hogar (063)",114,,7,99,5,2,1
"Pensionistas (064)",8,,,3,3,1,1
"Otro(a) no pariente (065)",604,1,86,326,113,58,20
,,,,,,,
"RURAL (066)",90458,1522,27716,24037,15580,13636,7967
"Jefe o Jefa (067)",25186,,83,4267,7401,8231,5204
"Esposa(o) / compañera(o) (068)",13947,,26,3479,4753,4049,1640
"Hijo(a) / hijastro(a) (069)",38589,1152,22661,12504,1920,341,11
"Yerno / nuera (070)",1237,,15,797,360,59,6
"Nieto(a) (071)",3643,267,2743,613,19,1,
"Padres / suegros (072)",812,,,,13,177,622
"Otro(a) pariente (073)",5965,96,1989,1925,916,639,400
"Trabajador(a) del hogar (074)",57,,7,24,10,11,5
"Pensionistas (075)",12,,,7,2,3,
"Otro(a) no pariente (076)",1010,7,192,421,186,125,79
"Hombres (077)",45863,788,14279,12191,7799,6842,3964
"Jefe o Jefa (078)",18140,,48,3089,5702,5941,3360
"Esposa(o) / compañera(o) (079)",695,,12,241,226,153,63
"Hijo(a) / hijastro(a) (080)",20368,606,11607,6937,1026,188,4
"Yerno / nuera (081)",539,,10,295,195,35,4
"Nieto(a) (082)",1949,125,1460,353,11,,
"Padres / suegros (083)",337,,,,5,76,256
"Otro(a) pariente (084)",3193,54,1041,1031,493,346,228
"Trabajador(a) del hogar (085)",19,,5,5,3,4,2
"Pensionistas (086)",11,,,6,2,3,
"Otro(a) no pariente (087)",612,3,96,234,136,96,47
"Mujeres (088)",44595,734,13437,11846,7781,6794,4003
"Jefe o Jefa (089)",7046,,35,1178,1699,2290,1844
"Esposa(o) / compañera(o) (090)",13252,,14,3238,4527,3896,1577
"Hijo(a) / hijastro(a) (091)",18221,546,11054,5567,894,153,7
"Yerno / nuera (092)",698,,5,502,165,24,2
"Nieto(a) (093)",1694,142,1283,260,8,1,
"Padres / suegros (094)",475,,,,8,101,366
